subscription_id,customer_id,plan_id,start_date,end_date,status,mrr,discount_pct,billing_cycle,seats_licensed
1489,1489,3,2026-06-13,,Active,7538.0,1.0,Annual,7
1806,1806,3,2024-11-29,,Active,59603.0,11.0,Monthly,69
1807,1807,4,2024-11-25,,Active,49714.0,5.0,Annual,31
1822,1822,1,2025-04-08,,Active,991.0,11.0,Annual,4
1917,1917,4,2024-10-15,,Active,74436.0,6.0,Monthly,48
1937,1937,3,2025-12-30,,Active,51715.0,9.0,Annual,58
1974,1974,2,2023-09-19,,Active,3753.0,9.0,Annual,7
1983,1983,3,2024-09-19,,Active,59958.0,14.0,Annual,72
2044,2044,1,2024-10-09,,Active,508.0,11.0,Annual,2
2060,2060,1,2025-10-30,,Active,3153.0,1.0,Annual,12
2082,2082,3,2024-06-04,,Active,42635.0,12.0,Monthly,49
2244,2244,1,2022-12-25,,Active,1732.0,9.0,Annual,7
2259,2259,1,2025-04-11,,Active,913.0,18.0,Annual,4
2383,2383,1,2024-05-15,,Active,2843.0,3.0,Annual,11
2529,2529,1,2024-06-25,,Active,2011.0,7.0,Annual,8
2554,2554,4,2023-07-11,,Active,151295.0,17.0,Annual,116
2555,2555,3,2025-01-03,,Active,37024.0,28.72125708252937,Annual,50
2575,2575,1,2023-04-29,,Active,734.0,13.0,Monthly,3
2608,2608,3,2023-01-25,,Active,14407.0,14.0,Annual,16
2620,2620,4,2024-03-13,,Active,25733.0,13.0,Monthly,17
2668,2668,1,2026-03-03,,Active,2011.0,7.0,Annual,8
2698,2698,3,2026-01-07,,Active,44735.0,29.693640655740275,Annual,59
2705,2705,4,2024-08-06,,Active,61219.0,16.759530477534888,Annual,48
2713,2713,1,2025-03-11,,Active,1310.0,5.0,Monthly,5
2754,2754,2,2024-10-28,,Active,1558.0,13.984880765714353,Monthly,3
2761,2761,1,2024-05-09,,Active,1572.0,14.179078402694316,Monthly,7
2768,2768,3,2024-07-30,,Active,4274.0,4.0,Monthly,4
2803,2803,3,2025-08-22,,Active,62157.0,12.0,Annual,73
2845,2845,4,2025-09-24,,Active,109053.0,17.0,Annual,82
2899,2899,2,2025-08-04,,Active,2839.0,5.0,Annual,5
2920,2920,3,2026-03-05,,Active,48841.0,25.3109419373684,Monthly,65
2939,2939,4,2024-12-07,,Active,197739.0,31.27766895238743,Annual,166
3036,3036,2,2026-04-27,,Active,16651.0,5.0,Monthly,32
3054,3054,1,2024-05-02,,Active,768.0,31.0,Monthly,4
3166,3166,4,2026-05-02,,Active,71514.0,4.0,Monthly,45
3171,3171,4,2024-05-30,,Active,137615.0,7.0,Monthly,93
3225,3225,1,2025-07-08,,Active,960.0,14.50884180680612,Annual,4
3262,3262,2,2023-11-23,,Active,31147.0,5.0,Annual,62
3263,3263,2,2025-04-06,,Active,3918.0,5.0,Annual,7
3285,3285,4,2023-11-13,,Active,106645.0,7.0,Monthly,71
3295,3295,2,2022-11-14,,Active,31400.0,11.0,Annual,67
3297,3297,1,2026-02-16,,Active,548.0,4.0,Monthly,2
3344,3344,2,2025-07-24,,Active,5683.0,2.0,Annual,10
3421,3421,4,2024-07-12,,Active,33627.0,7.0,Monthly,21
3422,3422,2,2024-08-21,,Active,9439.0,7.0,Monthly,18
3470,3470,1,2024-11-14,,Active,2581.0,13.955677785108524,Annual,12
3583,3583,1,2024-03-27,,Active,530.0,7.0,Annual,2
3656,3656,1,2024-11-05,,Active,2489.0,7.0,Monthly,10
3669,3669,2,2023-05-02,,Active,4182.0,23.06388171240773,Annual,9
3685,3685,3,2026-04-07,,Active,13610.0,1.0,Annual,13
3805,3805,4,2025-09-02,,Active,53122.0,7.0,Monthly,34
3835,3835,2,2025-01-18,,Active,7352.0,8.0,Monthly,14
3840,3840,1,2025-06-02,,Active,1296.0,6.0,Monthly,5
3958,3958,1,2026-02-01,,Active,2872.0,2.0,Monthly,11
3966,3966,1,2025-03-10,,Active,2898.0,9.0,Monthly,12
4019,4019,3,2024-12-07,,Active,83310.0,14.0,Annual,102
4049,4049,3,2025-02-11,,Active,4230.0,5.0,Annual,4
4108,4108,4,2025-11-19,,Active,81175.0,17.0,Monthly,60
4192,4192,3,2026-05-05,,Active,60867.0,16.0,Annual,75
4197,4197,4,2026-01-10,,Active,133032.0,11.0,Annual,94
4281,4281,2,2023-06-08,,Active,7831.0,2.0,Annual,14
4306,4306,2,2024-10-22,,Active,3646.0,10.595885179618374,Annual,7
4376,4376,1,2025-07-31,,Active,2011.0,7.0,Monthly,8
4453,4453,3,2025-04-15,,Active,35797.0,6.0,Monthly,38
4480,4480,2,2026-03-08,,Active,5017.0,21.0,Monthly,11
4520,4520,1,2025-08-19,,Active,2323.0,4.0,Annual,9
4534,4534,3,2024-11-23,,Active,4634.0,16.0,Monthly,5
4562,4562,1,2025-08-16,,Active,2814.0,4.0,Annual,11
4576,4576,2,2025-03-31,,Active,5087.0,3.0,Monthly,9
4613,4613,2,2022-07-05,,Active,6925.0,7.0,Annual,13
4626,4626,3,2024-04-29,,Active,55699.0,12.0,Monthly,65
4654,4654,3,2025-08-15,,Active,98433.0,10.0,Annual,116
4719,4719,4,2025-05-29,,Active,148132.0,16.0,Annual,112
4759,4759,2,2025-08-22,,Active,3203.0,10.0,Annual,6
4788,4788,3,2024-02-21,,Active,24028.0,26.36565105510251,Monthly,29
4796,4796,1,2025-05-31,,Active,1310.0,5.0,Annual,5
4810,4810,3,2023-09-03,,Active,31839.0,12.0,Monthly,36
4819,4819,4,2022-06-24,,Active,201004.0,14.0,Monthly,151
4858,4858,1,2025-11-20,,Active,3393.0,8.0,Annual,14
4922,4922,2,2024-04-02,,Active,5161.0,11.0,Monthly,10
4953,4953,3,2025-08-26,,Active,66113.0,11.0,Annual,77
4988,4988,3,2023-08-09,,Active,46958.0,16.0,Annual,57
5009,5009,1,2025-11-29,,Active,2011.0,7.0,Monthly,8
5023,5023,1,2024-05-03,,Active,3089.0,3.0,Monthly,12
5036,5036,4,2026-01-12,,Active,154699.0,10.0,Annual,109
5046,5046,3,2024-07-23,,Active,37180.0,7.0,Monthly,40
5161,5161,1,2025-02-14,,Active,3299.0,4.0,Monthly,13
5199,5199,2,2024-10-02,,Active,5451.0,6.0,Monthly,10
5215,5215,4,2024-09-21,,Active,80557.0,9.0,Annual,54
5217,5217,1,2024-05-29,,Active,3196.0,7.0,Annual,13
5255,5255,2,2025-04-18,,Active,17555.0,8.0,Annual,35
5329,5329,4,2024-10-29,,Active,155064.0,9.0,Annual,108
5367,5367,4,2025-01-21,,Active,103614.0,27.3660254883786,Monthly,76
5370,5370,4,2023-09-27,,Active,95248.0,24.0,Annual,78
5398,5398,2,2025-08-15,,Active,36277.0,12.0,Monthly,79
5411,5411,3,2024-09-27,,Active,66539.0,7.0,Monthly,74
5428,5428,2,2025-06-22,,Active,7149.0,4.0,Monthly,13
5468,5468,2,2025-02-04,,Active,4217.0,10.0,Annual,8
5513,5513,4,2024-09-11,,Active,56636.0,15.0,Monthly,40
5535,5535,4,2024-05-22,,Active,218721.0,7.0,Annual,152
5566,5566,2,2024-01-17,,Active,4498.0,4.0,Monthly,8
5589,5589,2,2025-03-24,,Active,7638.0,35.0,Annual,21
5610,5610,4,2025-01-21,,Active,81442.0,8.0,Annual,54
5614,5614,3,2025-01-13,,Active,49053.0,6.0,Annual,53
5657,5657,1,2024-06-14,,Active,565.0,1.0,Monthly,2
5659,5659,3,2025-08-05,,Active,20634.0,9.0,Monthly,22
5678,5678,3,2024-09-22,,Active,4096.0,8.0,Annual,4
5717,5717,3,2023-12-31,,Active,26526.0,10.0,Monthly,29
5747,5747,3,2025-09-15,,Active,46511.0,4.0,Annual,49
5749,5749,2,2024-07-05,,Active,2339.0,3.0,Monthly,4
5754,5754,1,2024-03-25,,Active,2141.0,1.0,Monthly,8
5786,5786,2,2023-01-06,,Active,2540.0,15.0,Monthly,5
5855,5855,1,2025-04-13,,Active,3265.0,5.0,Monthly,13
5985,5985,1,2023-10-06,,Active,1160.0,19.64317490005684,Monthly,5
6051,6051,1,2023-11-12,,Active,2667.0,9.0,Annual,11
6058,6058,2,2024-10-14,,Active,5804.0,22.923143209721506,Annual,12
6092,6092,3,2023-01-05,,Active,101329.0,13.0,Monthly,124
6096,6096,3,2024-03-10,,Active,11021.0,6.0,Monthly,11
6100,6100,3,2024-08-03,,Active,27411.0,7.0,Annual,29
6117,6117,3,2023-05-25,,Active,126818.0,9.0,Annual,150
6134,6134,1,2024-08-13,,Active,1884.0,1.0,Annual,7
6149,6149,3,2024-06-28,,Active,67102.0,5.0,Monthly,73
6209,6209,1,2025-01-31,,Active,3651.0,1.0,Annual,14
6250,6250,1,2024-06-20,,Active,2033.0,6.0,Annual,8
6293,6293,3,2023-10-01,,Active,100336.0,9.0,Annual,117
6298,6298,2,2023-07-14,,Active,6605.0,24.35184062457798,Annual,13
6312,6312,1,2025-09-03,,Active,2374.0,23.96456832766438,Annual,10
6317,6317,1,2025-01-15,,Active,1283.0,7.0,Monthly,5
6330,6330,1,2025-04-05,,Active,525.0,8.0,Annual,2
6359,6359,1,2024-10-28,,Active,548.0,4.0,Annual,2
6362,6362,1,2024-08-16,,Active,1123.0,25.1516258606038,Monthly,5
6392,6392,4,2025-01-09,,Active,288860.0,11.0,Annual,214
6483,6483,1,2025-02-23,,Active,3089.0,3.0,Annual,12
6487,6487,1,2022-12-18,,Active,1884.0,1.0,Monthly,7
6505,6505,2,2026-02-12,,Active,2243.0,7.0,Monthly,4
6514,6514,2,2024-06-27,,Active,6627.0,11.0,Annual,13
6515,6515,2,2024-09-23,,Active,11275.0,12.0,Annual,23
6529,6529,4,2025-04-17,,Active,120502.0,5.0,Monthly,79
6545,6545,3,2024-07-16,,Active,20610.0,5.0,Monthly,21
6557,6557,4,2024-08-21,,Active,132858.0,12.0,Annual,95
6633,6633,1,2026-01-31,,Active,2254.0,11.746046873727106,Annual,9
6653,6653,3,2023-08-30,,Active,11894.0,21.11677100257879,Annual,15
6669,6669,1,2022-10-22,,Active,2435.0,9.0,Annual,10
6670,6670,4,2023-07-20,,Active,132704.0,25.98571380456025,Annual,102
6687,6687,1,2025-02-03,,Active,810.0,4.0,Annual,3
6693,6693,4,2024-10-17,,Active,98223.0,12.0,Monthly,69
6744,6744,3,2024-08-25,,Active,31650.0,5.0,Monthly,33
6781,6781,2,2025-12-06,,Active,6952.0,13.0,Monthly,14
6786,6786,3,2023-08-04,,Active,36689.0,6.0,Monthly,39
6814,6814,1,2023-01-14,,Active,3057.0,4.0,Monthly,12
6909,6909,2,2024-11-30,,Active,3381.0,5.0,Annual,6
6937,6937,1,2024-12-25,,Active,2348.0,3.0,Monthly,9
6981,6981,4,2025-06-06,,Active,132326.0,22.147737960896347,Annual,102
6997,6997,1,2025-05-09,,Active,1103.0,20.0,Monthly,5
7039,7039,2,2025-08-09,,Active,6624.0,4.0,Monthly,12
7058,7058,2,2024-06-05,,Active,32192.0,19.0,Monthly,76
7071,7071,3,2025-05-05,,Active,6853.0,10.0,Annual,7
7225,7225,3,2024-05-03,,Active,30295.0,14.0,Annual,35
7227,7227,2,2023-07-05,,Active,9399.0,19.664093733002872,Monthly,21
7280,7280,4,2025-11-22,,Active,62751.0,8.0,Annual,41
7319,7319,1,2025-04-12,,Active,2055.0,5.0,Annual,8
7342,7342,3,2024-06-11,,Active,15244.0,9.0,Annual,16
7357,7357,2,2023-09-23,,Active,7592.0,5.0,Annual,14
7359,7359,2,2025-04-01,,Active,1111.0,15.48675380802775,Annual,2
7407,7407,4,2025-11-29,,Active,89408.0,10.0,Annual,61
7429,7429,4,2023-06-10,,Active,274498.0,19.430739573606,Annual,210
7430,7430,1,2022-05-19,,Active,1527.0,7.0,Monthly,6
7486,7486,1,2024-04-14,,Active,2163.0,15.840974134353235,Annual,9
7497,7497,2,2023-11-22,,Active,25703.0,20.38674082935982,Monthly,63
7498,7498,2,2025-06-23,,Active,16708.0,10.0,Annual,34
7526,7526,3,2024-03-06,,Active,171655.0,13.0,Annual,217
7609,7609,3,2025-05-13,,Active,55399.0,24.21728519825765,Monthly,72
7663,7663,4,2025-04-04,,Active,41188.0,7.0,Annual,26
7710,7710,3,2026-01-06,,Active,32305.0,13.0,Monthly,37
7806,7806,2,2025-03-10,,Active,9439.0,7.0,Annual,18
7979,7979,4,2024-03-24,,Active,202819.0,11.0,Annual,147
8004,8004,4,2023-07-21,,Active,126410.0,7.0,Annual,85
8013,8013,3,2024-05-03,,Active,6663.0,19.774984219639684,Annual,7
8039,8039,2,2024-04-25,,Active,1664.0,9.0,Monthly,3
8085,8085,2,2022-02-23,,Active,6348.0,8.0,Monthly,12
8107,8107,2,2024-01-10,,Active,25609.0,14.0,Annual,56
8179,8179,2,2024-07-19,,Active,26592.0,15.0,Monthly,59
8186,8186,3,2024-06-16,,Active,63765.0,12.0,Annual,75
8236,8236,2,2025-07-09,,Active,1162.0,6.0,Monthly,2
8339,8339,3,2023-04-26,,Active,26320.0,21.0,Monthly,33
8340,8340,1,2025-02-02,,Active,3299.0,4.0,Monthly,13
8359,8359,4,2023-05-06,,Active,220148.0,21.0,Monthly,182
8371,8371,1,2026-03-01,,Active,2484.0,19.04188788865482,Monthly,11
8377,8377,1,2023-03-12,,Active,1639.0,12.187862531496194,Annual,7
8392,8392,1,2024-03-14,,Active,1838.0,15.0,Monthly,8
8400,8400,1,2025-05-02,,Active,1089.0,21.0,Annual,5
8424,8424,1,2025-08-22,,Active,542.0,5.0,Monthly,2
8642,8642,2,2024-09-24,,Active,6633.0,17.0,Annual,14
8646,8646,1,2023-03-22,,Active,1838.0,15.0,Annual,8
8712,8712,2,2023-10-02,,Active,2689.0,10.0,Monthly,5
8727,8727,2,2023-03-24,,Active,7372.0,1.0,Monthly,13
8775,8775,1,2023-02-23,,Active,792.0,13.23010550898804,Monthly,3
8799,8799,2,2024-09-22,,Active,7671.0,4.0,Monthly,14
8844,8844,2,2023-11-02,,Active,7592.0,5.0,Annual,14
8874,8874,2,2022-09-03,,Active,23783.0,22.49517220509302,Annual,50
8895,8895,4,2024-05-23,,Active,215599.0,10.0,Annual,155
8906,8906,1,2026-04-11,,Active,1770.0,7.0,Monthly,7
8924,8924,2,2026-01-04,,Active,1719.0,6.0,Monthly,3
8980,8980,3,2026-06-09,,Active,58864.0,7.0,Monthly,65
8982,8982,4,2023-04-08,,Active,93887.0,11.0,Annual,65
9050,9050,1,2026-01-01,,Active,2603.0,23.05363414900637,Monthly,13
9057,9057,1,2025-08-19,,Active,1770.0,7.0,Annual,7
9083,9083,1,2023-12-02,,Active,2033.0,6.0,Monthly,8
9104,9104,2,2024-08-26,,Active,3345.0,6.0,Annual,6
9112,9112,2,2024-10-24,,Active,34660.0,7.0,Monthly,71
9122,9122,1,2026-04-18,,Active,2784.0,5.0,Annual,11
9141,9141,2,2024-07-24,,Active,2243.0,7.0,Monthly,4
9157,9157,2,2024-09-12,,Active,7372.0,1.0,Monthly,13
9229,9229,3,2024-12-01,,Active,59923.0,8.0,Monthly,67
9269,9269,1,2025-03-12,,Active,3025.0,5.0,Monthly,12
9272,9272,1,2023-05-10,,Active,819.0,3.0,Monthly,3
9313,9313,2,2025-10-02,,Active,1075.0,13.0,Annual,2
9365,9365,3,2025-10-04,,Active,43780.0,6.0,Monthly,47
9399,9399,1,2024-09-01,,Active,1310.0,5.0,Monthly,5
9434,9434,2,2026-01-23,,Active,2412.0,0.0,Annual,4
9465,9465,1,2025-01-26,,Active,3402.0,1.0,Monthly,13
9477,9477,4,2024-02-16,,Active,83984.0,18.0,Annual,63
9505,9505,3,2023-12-02,,Active,53713.0,7.0,Monthly,59
9518,9518,2,2025-12-09,,Active,17971.0,18.693070366108724,Annual,40
9557,9557,3,2022-04-28,,Active,75003.0,7.0,Annual,84
9562,9562,3,2025-04-13,,Active,63835.0,13.0,Annual,76
9565,9565,2,2024-09-08,,Active,39102.0,4.0,Monthly,78
9636,9636,2,2024-06-04,,Active,13035.0,6.0,Monthly,25
9694,9694,3,2025-10-15,,Active,45101.0,12.0,Monthly,52
9703,9703,4,2024-01-23,,Active,49695.0,13.0,Monthly,34
9720,9720,1,2023-12-02,,Active,3093.0,10.0,Annual,13
9724,9724,2,2025-01-08,,Active,24644.0,21.95437992543301,Monthly,54
9768,9768,3,2023-11-14,,Active,52055.0,14.0,Monthly,62
9794,9794,1,2026-03-23,,Active,1990.0,8.0,Monthly,8
9803,9803,2,2026-06-28,,Active,4639.0,1.0,Annual,8
9836,9836,3,2022-12-02,,Active,65536.0,6.0,Monthly,72
9855,9855,3,2025-06-07,,Active,23961.0,13.0,Annual,27
9866,9866,1,2024-04-23,,Active,3231.0,6.0,Monthly,13
9913,9913,2,2024-02-12,,Active,998.0,23.886134775481835,Annual,2
9947,9947,2,2025-06-23,,Active,6831.0,1.0,Monthly,12
9995,9995,3,2025-03-11,,Active,52813.0,10.0,Monthly,60
10006,10006,3,2023-11-21,,Active,66930.0,4.0,Annual,72
10160,10160,1,2025-04-09,,Active,1338.0,3.0,Monthly,5
10214,10214,1,2023-05-30,,Active,793.0,6.0,Monthly,3
10238,10238,3,2026-05-15,,Active,63814.0,6.0,Monthly,70
10246,10246,1,2024-11-18,,Active,1495.0,9.0,Monthly,6
10268,10268,3,2025-10-02,,Active,16767.0,15.0,Monthly,19
10289,10289,3,2023-07-01,,Active,64628.0,13.0,Annual,77
10299,10299,4,2024-01-07,,Active,139014.0,32.0,Annual,131
10304,10304,1,2025-10-17,,Active,2956.0,14.0,Annual,13
10316,10316,3,2024-07-27,,Active,69562.0,4.0,Annual,75
10322,10322,1,2025-06-29,,Active,3368.0,2.0,Monthly,13
10330,10330,3,2024-10-11,,Active,143673.0,21.0,Monthly,199
10376,10376,2,2024-08-01,,Active,3558.0,0.0,Annual,6
10429,10429,3,2024-06-22,,Active,66036.0,10.0,Monthly,76
10432,10432,1,2025-10-18,,Active,530.0,7.0,Monthly,2
10457,10457,1,2022-12-12,,Active,1080.0,3.0,Monthly,4
10490,10490,1,2024-01-08,,Active,950.0,7.256243761724301,Annual,4
10516,10516,2,2025-02-02,,Active,4545.0,3.0,Annual,8
10529,10529,2,2024-11-20,,Active,7032.0,12.0,Annual,14
10539,10539,2,2026-02-04,,Active,28326.0,23.687188948939134,Annual,69
10578,10578,3,2024-10-29,,Active,49476.0,10.0,Annual,56
10591,10591,1,2025-06-04,,Active,2569.0,4.0,Monthly,10
10606,10606,3,2025-12-26,,Active,63180.0,3.0,Annual,67
10704,10704,1,2025-12-29,,Active,1884.0,1.0,Annual,7
10745,10745,1,2024-11-19,,Active,1429.0,13.0,Annual,6
10771,10771,3,2024-03-25,,Active,32562.0,10.0,Monthly,36
10776,10776,1,2024-08-24,,Active,2098.0,3.0,Annual,8
10780,10780,2,2025-07-09,,Active,4042.0,2.0,Monthly,7
10808,10808,1,2025-12-27,,Active,1511.0,8.0,Monthly,6
10855,10855,2,2026-01-07,,Active,5087.0,3.0,Monthly,9
10883,10883,4,2023-05-24,,Active,219677.0,11.0,Annual,160
10941,10941,3,2024-01-04,,Active,26513.0,7.0,Annual,28
10973,10973,2,2025-03-04,,Active,16982.0,11.0,Annual,35
10974,10974,3,2024-04-17,,Active,32206.0,15.222014182903775,Annual,42
11021,11021,1,2025-12-23,,Active,728.0,19.35578159438134,Monthly,3
11068,11068,2,2025-05-05,,Active,5300.0,27.077356061631814,Annual,13
11117,11117,3,2024-09-17,,Active,164201.0,13.0,Annual,207
11188,11188,2,2025-10-18,,Active,9760.0,13.0,Annual,20
11225,11225,2,2025-03-16,,Active,3309.0,7.0,Annual,6
11261,11261,2,2025-08-13,,Active,4545.0,3.0,Monthly,8
11277,11277,4,2022-09-15,,Active,128326.0,30.98182362023768,Annual,103
11348,11348,1,2024-10-13,,Active,734.0,13.0,Annual,3
11410,11410,1,2026-01-19,,Active,3025.0,5.0,Monthly,12
11414,11414,3,2026-03-24,,Active,11776.0,21.24314272042773,Monthly,15
11425,11425,3,2024-10-11,,Active,21761.0,8.0,Monthly,23
11457,11457,2,2024-11-19,,Active,4877.0,7.0,Monthly,9
11474,11474,1,2025-08-30,,Active,3393.0,8.0,Annual,14
11478,11478,2,2026-03-13,,Active,25893.0,5.0,Monthly,51
11496,11496,2,2024-03-27,,Active,1024.0,20.807924989516778,Annual,2
11499,11499,2,2025-12-25,,Active,2839.0,5.0,Monthly,5
11527,11527,2,2022-03-05,,Active,2388.0,1.0,Annual,4
11639,11639,1,2025-12-09,,Active,1495.0,9.0,Monthly,6
11650,11650,4,2024-09-05,,Active,33300.0,30.722034010808223,Annual,27
11662,11662,2,2025-11-21,,Active,2739.0,22.343035262832597,Annual,6
11789,11789,4,2025-08-19,,Active,121770.0,4.0,Monthly,79
11833,11833,1,2026-01-16,,Active,1365.0,1.0,Monthly,5
11861,11861,1,2025-02-08,,Active,1884.0,1.0,Monthly,7
11877,11877,1,2023-10-21,,Active,3059.0,11.0,Annual,13
11883,11883,3,2022-12-29,,Active,58642.0,26.519465356371185,Monthly,78
11941,11941,2,2025-11-01,,Active,30514.0,4.0,Monthly,60
12008,12008,1,2024-10-14,,Active,827.0,2.0,Monthly,3
12050,12050,2,2025-03-24,,Active,2549.0,12.967119350046111,Annual,5
12095,12095,3,2024-05-25,,Active,44187.0,7.0,Annual,48
12103,12103,3,2023-08-14,,Active,59923.0,8.0,Monthly,67
12136,12136,1,2024-10-14,,Active,3025.0,20.97927431341332,Annual,14
12148,12148,1,2025-01-25,,Active,1091.0,2.0,Annual,4
12176,12176,3,2024-01-16,,Active,35863.0,23.0,Monthly,47
12218,12218,1,2024-05-07,,Active,3578.0,3.0,Annual,14
12239,12239,1,2025-01-06,,Active,3541.0,4.0,Monthly,14
12244,12244,2,2025-10-05,,Active,4452.0,5.0,Monthly,8
12276,12276,1,2022-04-09,,Active,1429.0,13.0,Annual,6
12321,12321,3,2024-03-29,,Active,37080.0,5.0,Monthly,39
12357,12357,3,2022-11-24,,Active,47517.0,15.0,Annual,57
12358,12358,2,2023-09-24,,Active,19239.0,9.0,Annual,39
12375,12375,4,2023-12-13,,Active,104352.0,9.0,Monthly,71
12392,12392,1,2025-09-03,,Active,3057.0,4.0,Monthly,12
12436,12436,2,2023-03-25,,Active,4083.0,1.0,Annual,7
12473,12473,2,2024-10-12,,Active,1174.0,5.0,Annual,2
12586,12586,2,2025-06-26,,Active,1646.0,10.0,Monthly,3
12587,12587,3,2024-07-07,,Active,45398.0,16.0,Annual,55
12588,12588,1,2024-07-20,,Active,2872.0,2.0,Monthly,11
12590,12590,4,2023-03-19,,Active,168013.0,16.0,Annual,128
12592,12592,1,2025-10-01,,Active,2609.0,11.0,Monthly,11
12602,12602,1,2024-11-23,,Active,519.0,8.267738852477006,Monthly,2
12617,12617,4,2023-02-21,,Active,109226.0,6.0,Annual,72
12673,12673,2,2025-08-22,,Active,13242.0,8.0,Monthly,26
12693,12693,1,2025-08-27,,Active,2299.0,5.0,Annual,9
12720,12720,2,2026-05-16,,Active,6693.0,3.0,Monthly,12
12728,12728,3,2025-04-12,,Active,48876.0,18.0,Monthly,61
12734,12734,2,2025-07-24,,Active,33632.0,6.0,Annual,68
12772,12772,2,2025-04-30,,Active,1137.0,8.0,Annual,2
12819,12819,2,2025-04-26,,Active,1792.0,2.0,Monthly,3
12832,12832,1,2022-11-10,,Active,3467.0,6.0,Annual,14
12867,12867,2,2022-11-01,,Active,4871.0,16.0,Monthly,10
12923,12923,3,2023-04-16,,Active,32562.0,10.0,Annual,36
12931,12931,2,2024-03-17,,Active,7372.0,1.0,Annual,13
