customer_id,company_name,signup_date,segment,industry,acquisition_channel,city,state
685,Account-000685,2023-12-11,SMB,Agritech,Paid Ads,Coimbatore,Tamil Nadu
689,Account-000689,2024-01-03,SMB,IT Services,Partner,Kochi,Kerala
738,Account-000738,2024-01-04,Enterprise,Real Estate,Partner,Jaipur,Rajasthan
855,Account-000855,2024-03-27,SMB,Real Estate,Organic Search,Noida,Uttar Pradesh
874,Account-000874,2026-05-03,Mid-Market,Healthcare,Organic Search,Chennai,Tamil Nadu
895,Account-000895,2025-04-12,SMB,Logistics,Referral,Shivamogga,Karnataka
999,Account-000999,2026-02-24,Mid-Market,IT Services,Partner,Kochi,Kerala
1001,Account-001001,2024-03-05,SMB,IT Services,Referral,Coimbatore,Tamil Nadu
1004,Account-001004,2024-12-05,Mid-Market,Manufacturing,Organic Search,Gurugram,Haryana
1022,Account-001022,2025-08-08,Mid-Market,Logistics,Organic Search,Kolkata,West Bengal
1048,Account-001048,2023-02-05,Mid-Market,Financial Services,Referral,Coimbatore,Tamil Nadu
1054,Account-001054,2023-10-22,SMB,Hospitality,Paid Ads,Kolkata,West Bengal
1061,Account-001061,2024-03-20,SMB,Healthcare,Organic Search,Noida,Uttar Pradesh
1073,Account-001073,2025-05-20,SMB,Logistics,Outbound Sales,Delhi,Delhi
1074,Account-001074,2023-12-25,SMB,Education,Organic Search,Mumbai,Maharashtra
1092,Account-001092,2024-08-08,SMB,Education,Paid Ads,Ahmedabad,Gujarat
1107,Account-001107,2025-09-17,Mid-Market,Manufacturing,Organic Search,Ahmedabad,Gujarat
1125,Account-001125,2026-03-11,SMB,Education,Paid Ads,Coimbatore,Tamil Nadu
1167,Account-001167,2025-05-30,SMB,Financial Services,Organic Search,Coimbatore,Tamil Nadu
1188,Account-001188,2026-01-07,SMB,Agritech,Organic Search,Bengaluru,Karnataka
1227,Account-001227,2025-05-29,SMB,Healthcare,Outbound Sales,Kochi,Kerala
1237,Account-001237,2025-05-29,SMB,IT Services,Outbound Sales,Chennai,Tamil Nadu
1240,Account-001240,2024-02-25,SMB,Retail,Outbound Sales,Delhi,Delhi
1275,Account-001275,2025-10-02,Mid-Market,Real Estate,Marketplace,Mumbai,Maharashtra
1314,Account-001314,2023-11-05,SMB,Manufacturing,Organic Search,Chennai,Tamil Nadu
1345,Account-001345,2025-11-07,Enterprise,Real Estate,Organic Search,Delhi,Delhi
1362,Account-001362,2023-12-07,SMB,Healthcare,Referral,Coimbatore,Tamil Nadu
1385,Account-001385,2023-08-16,SMB,Hospitality,Referral,Coimbatore,Tamil Nadu
1387,Account-001387,2024-03-07,SMB,Retail,Paid Ads,Chennai,Tamil Nadu
1402,Account-001402,2025-03-08,Mid-Market,Retail,Referral,Kolkata,West Bengal
1406,Account-001406,2025-01-10,Mid-Market,Hospitality,Referral,Kolkata,West Bengal
1460,Account-001460,2025-04-26,SMB,Manufacturing,Paid Ads,Pune,Maharashtra
1489,Account-001489,2026-06-13,SMB,Logistics,Partner,Mumbai,Maharashtra
1806,Account-001806,2024-11-29,Mid-Market,Education,Outbound Sales,Ahmedabad,Gujarat
1807,Account-001807,2024-11-25,Mid-Market,Logistics,Paid Ads,Hyderabad,Telangana
1822,Account-001822,2025-04-08,SMB,Retail,Outbound Sales,Indore,Madhya Pradesh
1917,Account-001917,2024-10-15,Mid-Market,Retail,Organic Search,Mumbai,Maharashtra
1937,Account-001937,2025-12-30,Mid-Market,Hospitality,Marketplace,Shivamogga,Karnataka
1974,Account-001974,2023-09-19,SMB,Agritech,Partner,Kochi,Kerala
1983,Account-001983,2024-09-19,Enterprise,Financial Services,Outbound Sales,Kolkata,West Bengal
2044,Account-002044,2024-10-09,SMB,Manufacturing,Outbound Sales,Chennai,Tamil Nadu
2060,Account-002060,2025-10-30,SMB,Agritech,Partner,Bengaluru,Karnataka
2082,Account-002082,2024-06-04,Mid-Market,IT Services,Marketplace,Hyderabad,Telangana
2244,Account-002244,2022-12-25,SMB,Financial Services,Paid Ads,Pune,Maharashtra
2259,Account-002259,2025-04-11,SMB,Education,Paid Ads,Hyderabad,Telangana
2383,Account-002383,2024-05-15,SMB,Healthcare,Organic Search,Gurugram,Haryana
2529,Account-002529,2024-06-25,SMB,Agritech,Outbound Sales,Kolkata,West Bengal
2554,Account-002554,2023-07-11,Enterprise,Healthcare,Outbound Sales,Pune,Maharashtra
2555,Account-002555,2025-01-03,Mid-Market,Healthcare,Outbound Sales,Gurugram,Haryana
2575,Account-002575,2023-04-29,SMB,Retail,Paid Ads,Coimbatore,Tamil Nadu
2608,Account-002608,2023-01-25,Mid-Market,IT Services,Outbound Sales,Jaipur,Rajasthan
2620,Account-002620,2024-03-13,Mid-Market,Agritech,Partner,Shivamogga,Karnataka
2668,Account-002668,2026-03-03,SMB,Agritech,Referral,Delhi,Delhi
2698,Account-002698,2026-01-07,Mid-Market,Agritech,Paid Ads,Chennai,Tamil Nadu
2705,Account-002705,2024-08-06,Mid-Market,Logistics,Organic Search,Bengaluru,Karnataka
2713,Account-002713,2025-03-11,SMB,Agritech,Referral,Hyderabad,Telangana
2754,Account-002754,2024-10-28,SMB,Agritech,Paid Ads,Ahmedabad,Gujarat
2761,Account-002761,2024-05-09,SMB,IT Services,Outbound Sales,Indore,Madhya Pradesh
2768,Account-002768,2024-07-30,SMB,Real Estate,Partner,Noida,Uttar Pradesh
2803,Account-002803,2025-08-22,Enterprise,Real Estate,Marketplace,Gurugram,Haryana
2845,Account-002845,2025-09-24,Enterprise,Logistics,Organic Search,Gurugram,Haryana
2899,Account-002899,2025-08-04,SMB,Hospitality,Referral,Ahmedabad,Gujarat
2920,Account-002920,2026-03-05,Mid-Market,Logistics,Organic Search,Delhi,Delhi
2939,Account-002939,2024-12-07,Enterprise,IT Services,Partner,Shivamogga,Karnataka
3036,Account-003036,2026-04-27,Mid-Market,Education,Paid Ads,Jaipur,Rajasthan
3054,Account-003054,2024-05-02,SMB,IT Services,Organic Search,Pune,Maharashtra
3166,Account-003166,2026-05-02,Mid-Market,Logistics,Partner,Kolkata,West Bengal
3171,Account-003171,2024-05-30,Enterprise,IT Services,Organic Search,Ahmedabad,Gujarat
3225,Account-003225,2025-07-08,SMB,Retail,Organic Search,Delhi,Delhi
3262,Account-003262,2023-11-23,Mid-Market,Financial Services,Marketplace,Shivamogga,Karnataka
3263,Account-003263,2025-04-06,SMB,Logistics,Outbound Sales,Kochi,Kerala
3285,Account-003285,2023-11-13,Mid-Market,Education,Marketplace,Delhi,Delhi
3295,Account-003295,2022-11-14,Mid-Market,Retail,Partner,Bengaluru,Karnataka
3297,Account-003297,2026-02-16,SMB,IT Services,Paid Ads,Kolkata,West Bengal
3344,Account-003344,2025-07-24,SMB,Education,Referral,Chennai,Tamil Nadu
3421,Account-003421,2024-07-12,Mid-Market,Retail,Organic Search,Kochi,Kerala
3422,Account-003422,2024-08-21,Mid-Market,Logistics,Referral,Mumbai,Maharashtra
3470,Account-003470,2024-11-14,SMB,Education,Paid Ads,Bengaluru,Karnataka
3583,Account-003583,2024-03-27,SMB,Manufacturing,Paid Ads,Coimbatore,Tamil Nadu
3656,Account-003656,2024-11-05,SMB,Agritech,Partner,Ahmedabad,Gujarat
3669,Account-003669,2023-05-02,SMB,Agritech,Referral,Shivamogga,Karnataka
3685,Account-003685,2026-04-07,SMB,Logistics,Partner,Mumbai,Maharashtra
3805,Account-003805,2025-09-02,Mid-Market,IT Services,Paid Ads,Coimbatore,Tamil Nadu
3835,Account-003835,2025-01-18,SMB,Education,Outbound Sales,Bengaluru,Karnataka
3840,Account-003840,2025-06-02,SMB,Logistics,Outbound Sales,Kolkata,West Bengal
3958,Account-003958,2026-02-01,SMB,IT Services,Partner,Delhi,Delhi
3966,Account-003966,2025-03-10,SMB,Real Estate,Referral,Noida,Uttar Pradesh
4019,Account-004019,2024-12-07,Enterprise,Hospitality,Partner,Hyderabad,Telangana
4049,Account-004049,2025-02-11,SMB,Manufacturing,Outbound Sales,Mumbai,Maharashtra
4108,Account-004108,2025-11-19,Enterprise,Financial Services,Paid Ads,Gurugram,Haryana
4192,Account-004192,2026-05-05,Mid-Market,IT Services,Outbound Sales,Chennai,Tamil Nadu
4197,Account-004197,2026-01-10,Enterprise,Agritech,Partner,Hyderabad,Telangana
4281,Account-004281,2023-06-08,SMB,Agritech,Organic Search,Gurugram,Haryana
4306,Account-004306,2024-10-22,SMB,IT Services,Marketplace,Ahmedabad,Gujarat
4376,Account-004376,2025-07-31,SMB,IT Services,Outbound Sales,Gurugram,Haryana
4453,Account-004453,2025-04-15,Mid-Market,Manufacturing,Organic Search,Noida,Uttar Pradesh
4480,Account-004480,2026-03-08,SMB,Hospitality,Paid Ads,Bengaluru,Karnataka
4520,Account-004520,2025-08-19,SMB,Real Estate,Marketplace,Hyderabad,Telangana
4534,Account-004534,2024-11-23,SMB,IT Services,Outbound Sales,Chennai,Tamil Nadu
4562,Account-004562,2025-08-16,SMB,IT Services,Referral,Coimbatore,Tamil Nadu
4576,Account-004576,2025-03-31,SMB,IT Services,Paid Ads,Pune,Maharashtra
4613,Account-004613,2022-07-05,SMB,Healthcare,Outbound Sales,Jaipur,Rajasthan
4626,Account-004626,2024-04-29,Enterprise,Education,Referral,Coimbatore,Tamil Nadu
4654,Account-004654,2025-08-15,Enterprise,Agritech,Partner,Pune,Maharashtra
4719,Account-004719,2025-05-29,Enterprise,Logistics,Outbound Sales,Bengaluru,Karnataka
4759,Account-004759,2025-08-22,SMB,Hospitality,Outbound Sales,Delhi,Delhi
4788,Account-004788,2024-02-21,Mid-Market,Manufacturing,Outbound Sales,Chennai,Tamil Nadu
4796,Account-004796,2025-05-31,SMB,Healthcare,Outbound Sales,Kochi,Kerala
4810,Account-004810,2023-09-03,Mid-Market,IT Services,Outbound Sales,Gurugram,Haryana
4819,Account-004819,2022-06-24,Enterprise,Financial Services,Outbound Sales,Mumbai,Maharashtra
4858,Account-004858,2025-11-20,SMB,Financial Services,Organic Search,Bengaluru,Karnataka
4922,Account-004922,2024-04-02,SMB,Agritech,Referral,Pune,Maharashtra
4953,Account-004953,2025-08-26,Mid-Market,IT Services,Partner,Jaipur,Rajasthan
4988,Account-004988,2023-08-09,Mid-Market,Hospitality,Outbound Sales,Pune,Maharashtra
5009,Account-005009,2025-11-29,SMB,Financial Services,Paid Ads,Delhi,Delhi
5023,Account-005023,2024-05-03,SMB,Agritech,Referral,Coimbatore,Tamil Nadu
5036,Account-005036,2026-01-12,Enterprise,Real Estate,Outbound Sales,Coimbatore,Tamil Nadu
5046,Account-005046,2024-07-23,Mid-Market,IT Services,Organic Search,Delhi,Delhi
5161,Account-005161,2025-02-14,SMB,IT Services,Outbound Sales,Pune,Maharashtra
5199,Account-005199,2024-10-02,SMB,IT Services,Referral,Kolkata,West Bengal
5215,Account-005215,2024-09-21,Mid-Market,Hospitality,Partner,Hyderabad,Telangana
5217,Account-005217,2024-05-29,SMB,Healthcare,Partner,Jaipur,Rajasthan
5255,Account-005255,2025-04-18,Mid-Market,Financial Services,Paid Ads,Delhi,Delhi
5329,Account-005329,2024-10-29,Enterprise,Retail,Paid Ads,Coimbatore,Tamil Nadu
5367,Account-005367,2025-01-21,Mid-Market,Agritech,Outbound Sales,Bengaluru,Karnataka
5370,Account-005370,2023-09-27,Enterprise,Manufacturing,Referral,Chennai,Tamil Nadu
5398,Account-005398,2025-08-15,Mid-Market,Manufacturing,Paid Ads,Indore,Madhya Pradesh
5411,Account-005411,2024-09-27,Mid-Market,Financial Services,Outbound Sales,Jaipur,Rajasthan
5428,Account-005428,2025-06-22,SMB,Manufacturing,Paid Ads,Pune,Maharashtra
5468,Account-005468,2025-02-04,SMB,Hospitality,Referral,Shivamogga,Karnataka
5513,Account-005513,2024-09-11,Mid-Market,Real Estate,Outbound Sales,Pune,Maharashtra
5535,Account-005535,2024-05-22,Enterprise,Real Estate,Referral,Coimbatore,Tamil Nadu
5566,Account-005566,2024-01-17,SMB,Financial Services,Referral,Hyderabad,Telangana
5589,Account-005589,2025-03-24,Mid-Market,Retail,Outbound Sales,Chennai,Tamil Nadu
5610,Account-005610,2025-01-21,Mid-Market,Retail,Outbound Sales,Kolkata,West Bengal
5614,Account-005614,2025-01-13,Mid-Market,Healthcare,Paid Ads,Delhi,Delhi
5657,Account-005657,2024-06-14,SMB,Healthcare,Partner,Noida,Uttar Pradesh
5659,Account-005659,2025-08-05,Mid-Market,Real Estate,Marketplace,Noida,Uttar Pradesh
5678,Account-005678,2024-09-22,SMB,Real Estate,Outbound Sales,Shivamogga,Karnataka
5717,Account-005717,2023-12-31,Mid-Market,Financial Services,Referral,Indore,Madhya Pradesh
5747,Account-005747,2025-09-15,Mid-Market,Financial Services,Organic Search,Jaipur,Rajasthan
5749,Account-005749,2024-07-05,SMB,Retail,Paid Ads,Coimbatore,Tamil Nadu
5754,Account-005754,2024-03-25,SMB,Real Estate,Organic Search,Coimbatore,Tamil Nadu
5786,Account-005786,2023-01-06,SMB,Hospitality,Outbound Sales,Chennai,Tamil Nadu
5855,Account-005855,2025-04-13,SMB,Education,Outbound Sales,Bengaluru,Karnataka
5985,Account-005985,2023-10-06,SMB,Financial Services,Partner,Delhi,Delhi
6051,Account-006051,2023-11-12,SMB,IT Services,Organic Search,Noida,Uttar Pradesh
6058,Account-006058,2024-10-14,SMB,Manufacturing,Marketplace,Delhi,Delhi
6092,Account-006092,2023-01-05,Enterprise,Financial Services,Referral,Delhi,Delhi
6096,Account-006096,2024-03-10,SMB,Financial Services,Outbound Sales,Bengaluru,Karnataka
6100,Account-006100,2024-08-03,Mid-Market,Retail,Organic Search,Delhi,Delhi
6117,Account-006117,2023-05-25,Enterprise,Agritech,Organic Search,Shivamogga,Karnataka
6134,Account-006134,2024-08-13,SMB,Manufacturing,Referral,Mumbai,Maharashtra
6149,Account-006149,2024-06-28,Mid-Market,Retail,Referral,Delhi,Delhi
6209,Account-006209,2025-01-31,SMB,Real Estate,Paid Ads,Gurugram,Haryana
6250,Account-006250,2024-06-20,SMB,Agritech,Paid Ads,Ahmedabad,Gujarat
6293,Account-006293,2023-10-01,Enterprise,Agritech,Partner,Gurugram,Haryana
6298,Account-006298,2023-07-14,SMB,Agritech,Outbound Sales,Kolkata,West Bengal
6312,Account-006312,2025-09-03,SMB,IT Services,Organic Search,Hyderabad,Telangana
6317,Account-006317,2025-01-15,SMB,Education,Outbound Sales,Shivamogga,Karnataka
6330,Account-006330,2025-04-05,SMB,Retail,Referral,Delhi,Delhi
6359,Account-006359,2024-10-28,SMB,Logistics,Organic Search,Pune,Maharashtra
6362,Account-006362,2024-08-16,SMB,Hospitality,Outbound Sales,Hyderabad,Telangana
6392,Account-006392,2025-01-09,Enterprise,Retail,Organic Search,Gurugram,Haryana
6483,Account-006483,2025-02-23,SMB,IT Services,Referral,Hyderabad,Telangana
6487,Account-006487,2022-12-18,SMB,Healthcare,Partner,Bengaluru,Karnataka
6505,Account-006505,2026-02-12,SMB,Agritech,Partner,Gurugram,Haryana
6514,Account-006514,2024-06-27,SMB,Healthcare,Outbound Sales,Noida,Uttar Pradesh
6515,Account-006515,2024-09-23,Mid-Market,Manufacturing,Referral,Chennai,Tamil Nadu
6529,Account-006529,2025-04-17,Mid-Market,Financial Services,Marketplace,Chennai,Tamil Nadu
6545,Account-006545,2024-07-16,Mid-Market,Logistics,Paid Ads,Indore,Madhya Pradesh
6557,Account-006557,2024-08-21,Enterprise,Hospitality,Outbound Sales,Chennai,Tamil Nadu
6633,Account-006633,2026-01-31,SMB,Manufacturing,Organic Search,Noida,Uttar Pradesh
6653,Account-006653,2023-08-30,Mid-Market,Education,Organic Search,Mumbai,Maharashtra
6669,Account-006669,2022-10-22,SMB,IT Services,Referral,Chennai,Tamil Nadu
6670,Account-006670,2023-07-20,Enterprise,Retail,Outbound Sales,Hyderabad,Telangana
6687,Account-006687,2025-02-03,SMB,Retail,Referral,Kolkata,West Bengal
6693,Account-006693,2024-10-17,Enterprise,Hospitality,Outbound Sales,Coimbatore,Tamil Nadu
6744,Account-006744,2024-08-25,Mid-Market,Logistics,Paid Ads,Noida,Uttar Pradesh
6781,Account-006781,2025-12-06,SMB,Education,Outbound Sales,Kolkata,West Bengal
6786,Account-006786,2023-08-04,Mid-Market,Healthcare,Organic Search,Delhi,Delhi
6814,Account-006814,2023-01-14,SMB,Real Estate,Paid Ads,Mumbai,Maharashtra
6909,Account-006909,2024-11-30,SMB,Retail,Organic Search,Ahmedabad,Gujarat
6937,Account-006937,2024-12-25,SMB,Retail,Outbound Sales,Delhi,Delhi
6981,Account-006981,2025-06-06,Enterprise,Real Estate,Paid Ads,Hyderabad,Telangana
6997,Account-006997,2025-05-09,SMB,Manufacturing,Organic Search,Gurugram,Haryana
7039,Account-007039,2025-08-09,SMB,Financial Services,Organic Search,Jaipur,Rajasthan
7058,Account-007058,2024-06-05,Mid-Market,Real Estate,Outbound Sales,Indore,Madhya Pradesh
7071,Account-007071,2025-05-05,SMB,Education,Referral,Shivamogga,Karnataka
7225,Account-007225,2024-05-03,Mid-Market,Manufacturing,Organic Search,Chennai,Tamil Nadu
7227,Account-007227,2023-07-05,Mid-Market,Logistics,Partner,Gurugram,Haryana
7280,Account-007280,2025-11-22,Mid-Market,Hospitality,Paid Ads,Bengaluru,Karnataka
7319,Account-007319,2025-04-12,SMB,Manufacturing,Paid Ads,Jaipur,Rajasthan
7342,Account-007342,2024-06-11,Mid-Market,Healthcare,Referral,Coimbatore,Tamil Nadu
7357,Account-007357,2023-09-23,SMB,IT Services,Referral,Jaipur,Rajasthan
7359,Account-007359,2025-04-01,SMB,Logistics,Paid Ads,Hyderabad,Telangana
7407,Account-007407,2025-11-29,Enterprise,Manufacturing,Referral,Hyderabad,Telangana
7429,Account-007429,2023-06-10,Enterprise,Financial Services,Paid Ads,Coimbatore,Tamil Nadu
7430,Account-007430,2022-05-19,SMB,Healthcare,Organic Search,Kochi,Kerala
7486,Account-007486,2024-04-14,SMB,Retail,Referral,Delhi,Delhi
7497,Account-007497,2023-11-22,Mid-Market,IT Services,Organic Search,Coimbatore,Tamil Nadu
7498,Account-007498,2025-06-23,Mid-Market,Logistics,Referral,Indore,Madhya Pradesh
7526,Account-007526,2024-03-06,Enterprise,Hospitality,Paid Ads,Shivamogga,Karnataka
7609,Account-007609,2025-05-13,Enterprise,Hospitality,Organic Search,Indore,Madhya Pradesh
7663,Account-007663,2025-04-04,Mid-Market,Logistics,Outbound Sales,Ahmedabad,Gujarat
7710,Account-007710,2026-01-06,Mid-Market,Manufacturing,Outbound Sales,Bengaluru,Karnataka
7806,Account-007806,2025-03-10,Mid-Market,IT Services,Marketplace,Noida,Uttar Pradesh
7979,Account-007979,2024-03-24,Enterprise,Retail,Paid Ads,Hyderabad,Telangana
8004,Account-008004,2023-07-21,Enterprise,Education,Organic Search,Coimbatore,Tamil Nadu
8013,Account-008013,2024-05-03,SMB,Logistics,Outbound Sales,Hyderabad,Telangana
8039,Account-008039,2024-04-25,SMB,Logistics,Outbound Sales,Mumbai,Maharashtra
8085,Account-008085,2022-02-23,SMB,IT Services,Outbound Sales,Kolkata,West Bengal
8107,Account-008107,2024-01-10,Mid-Market,Real Estate,Paid Ads,Kochi,Kerala
8179,Account-008179,2024-07-19,Mid-Market,Agritech,Organic Search,Indore,Madhya Pradesh
8186,Account-008186,2024-06-16,Mid-Market,Agritech,Outbound Sales,Chennai,Tamil Nadu
8236,Account-008236,2025-07-09,SMB,Education,Paid Ads,Mumbai,Maharashtra
8339,Account-008339,2023-04-26,Mid-Market,Financial Services,Paid Ads,Noida,Uttar Pradesh
8340,Account-008340,2025-02-02,SMB,Retail,Paid Ads,Shivamogga,Karnataka
8359,Account-008359,2023-05-06,Enterprise,Financial Services,Paid Ads,Kolkata,West Bengal
8371,Account-008371,2026-03-01,SMB,Hospitality,Referral,Kolkata,West Bengal
8377,Account-008377,2023-03-12,SMB,Financial Services,Organic Search,Kolkata,West Bengal
8392,Account-008392,2024-03-14,SMB,Agritech,Outbound Sales,Hyderabad,Telangana
8400,Account-008400,2025-05-02,SMB,Hospitality,Organic Search,Ahmedabad,Gujarat
8424,Account-008424,2025-08-22,SMB,Healthcare,Partner,Mumbai,Maharashtra
8642,Account-008642,2024-09-24,SMB,Healthcare,Outbound Sales,Kochi,Kerala
8646,Account-008646,2023-03-22,SMB,Hospitality,Partner,Gurugram,Haryana
8712,Account-008712,2023-10-02,SMB,Retail,Outbound Sales,Ahmedabad,Gujarat
8727,Account-008727,2023-03-24,SMB,Real Estate,Organic Search,Kolkata,West Bengal
8775,Account-008775,2023-02-23,SMB,Retail,Referral,Ahmedabad,Gujarat
8799,Account-008799,2024-09-22,SMB,Real Estate,Paid Ads,Kolkata,West Bengal
8844,Account-008844,2023-11-02,SMB,Agritech,Organic Search,Hyderabad,Telangana
8874,Account-008874,2022-09-03,Mid-Market,Real Estate,Marketplace,Kochi,Kerala
8895,Account-008895,2024-05-23,Enterprise,Education,Organic Search,Mumbai,Maharashtra
8906,Account-008906,2026-04-11,SMB,Financial Services,Organic Search,Pune,Maharashtra
8924,Account-008924,2026-01-04,SMB,Logistics,Referral,Delhi,Delhi
8980,Account-008980,2026-06-09,Mid-Market,Education,Outbound Sales,Chennai,Tamil Nadu
8982,Account-008982,2023-04-08,Enterprise,Hospitality,Outbound Sales,Kolkata,West Bengal
9050,Account-009050,2026-01-01,SMB,IT Services,Paid Ads,Pune,Maharashtra
9057,Account-009057,2025-08-19,SMB,Hospitality,Outbound Sales,Noida,Uttar Pradesh
9083,Account-009083,2023-12-02,SMB,Education,Organic Search,Jaipur,Rajasthan
9104,Account-009104,2024-08-26,SMB,Education,Organic Search,Gurugram,Haryana
9112,Account-009112,2024-10-24,Mid-Market,IT Services,Paid Ads,Mumbai,Maharashtra
9122,Account-009122,2026-04-18,SMB,Hospitality,Outbound Sales,Mumbai,Maharashtra
9141,Account-009141,2024-07-24,SMB,Retail,Paid Ads,Hyderabad,Telangana
9157,Account-009157,2024-09-12,SMB,Education,Paid Ads,Indore,Madhya Pradesh
9229,Account-009229,2024-12-01,Mid-Market,Healthcare,Outbound Sales,Indore,Madhya Pradesh
9269,Account-009269,2025-03-12,SMB,Healthcare,Paid Ads,Hyderabad,Telangana
9272,Account-009272,2023-05-10,SMB,Logistics,Outbound Sales,Coimbatore,Tamil Nadu
9313,Account-009313,2025-10-02,SMB,Hospitality,Paid Ads,Delhi,Delhi
9365,Account-009365,2025-10-04,Mid-Market,Education,Paid Ads,Noida,Uttar Pradesh
9399,Account-009399,2024-09-01,SMB,Healthcare,Outbound Sales,Gurugram,Haryana
9434,Account-009434,2026-01-23,SMB,Retail,Partner,Mumbai,Maharashtra
9465,Account-009465,2025-01-26,SMB,Retail,Paid Ads,Bengaluru,Karnataka
9477,Account-009477,2024-02-16,Enterprise,Financial Services,Outbound Sales,Gurugram,Haryana
9505,Account-009505,2023-12-02,Mid-Market,Retail,Organic Search,Bengaluru,Karnataka
9518,Account-009518,2025-12-09,Mid-Market,Healthcare,Organic Search,Coimbatore,Tamil Nadu
9557,Account-009557,2022-04-28,Enterprise,IT Services,Paid Ads,Chennai,Tamil Nadu
9562,Account-009562,2025-04-13,Enterprise,Manufacturing,Paid Ads,Indore,Madhya Pradesh
9565,Account-009565,2024-09-08,Mid-Market,IT Services,Organic Search,Noida,Uttar Pradesh
9636,Account-009636,2024-06-04,Mid-Market,Logistics,Referral,Ahmedabad,Gujarat
9694,Account-009694,2025-10-15,Mid-Market,Healthcare,Organic Search,Indore,Madhya Pradesh
9703,Account-009703,2024-01-23,Mid-Market,Retail,Outbound Sales,Shivamogga,Karnataka
9720,Account-009720,2023-12-02,SMB,Healthcare,Marketplace,Coimbatore,Tamil Nadu
9724,Account-009724,2025-01-08,Mid-Market,Agritech,Referral,Delhi,Delhi
9768,Account-009768,2023-11-14,Enterprise,Real Estate,Referral,Pune,Maharashtra
9794,Account-009794,2026-03-23,SMB,Real Estate,Paid Ads,Coimbatore,Tamil Nadu
9803,Account-009803,2026-06-28,SMB,Real Estate,Referral,Jaipur,Rajasthan
9836,Account-009836,2022-12-02,Mid-Market,Healthcare,Partner,Noida,Uttar Pradesh
9855,Account-009855,2025-06-07,Mid-Market,Agritech,Organic Search,Delhi,Delhi
9866,Account-009866,2024-04-23,SMB,Real Estate,Partner,Chennai,Tamil Nadu
9913,Account-009913,2024-02-12,SMB,Retail,Organic Search,Hyderabad,Telangana
9947,Account-009947,2025-06-23,SMB,Manufacturing,Referral,Hyderabad,Telangana
9995,Account-009995,2025-03-11,Mid-Market,Logistics,Outbound Sales,Indore,Madhya Pradesh
10006,Account-010006,2023-11-21,Mid-Market,Manufacturing,Marketplace,Hyderabad,Telangana
10160,Account-010160,2025-04-09,SMB,IT Services,Referral,Gurugram,Haryana
10214,Account-010214,2023-05-30,SMB,Logistics,Organic Search,Kolkata,West Bengal
10238,Account-010238,2026-05-15,Mid-Market,Retail,Paid Ads,Kochi,Kerala
10246,Account-010246,2024-11-18,SMB,Logistics,Organic Search,Mumbai,Maharashtra
10268,Account-010268,2025-10-02,Mid-Market,IT Services,Outbound Sales,Delhi,Delhi
