ticket_id,customer_id,created_at,category,severity,resolution_hours,csat_score,is_escalated
1781,3262,2024-07-01,Billing,High,11.1,3,1
1782,3262,2024-07-21,Performance,High,7.5,3,0
1783,3262,2024-07-23,Integration,High,50.9,5,0
1795,3285,2024-07-28,Performance,Medium,22.1,4,0
1797,3295,2024-07-17,Billing,Low,8.6,4,0
1798,3295,2024-07-24,Performance,Medium,21.4,4,0
1799,3295,2024-07-12,Performance,High,52.0,4,0
2316,4281,2024-07-09,Bug,Low,17.8,2,0
2473,4613,2024-07-08,Performance,High,60.6,2,1
2478,4626,2024-07-12,How-to,Low,15.7,4,0
2580,4810,2024-07-16,Bug,Low,15.8,5,0
2585,4819,2024-07-26,Billing,Low,1.1,3,0
2586,4819,2024-07-11,How-to,Medium,37.0,4,0
2643,4922,2024-07-03,Bug,Medium,21.2,4,0
2644,4922,2024-07-22,Billing,High,32.0,3,0
2687,5023,2024-07-09,Outage,High,31.6,4,1
2795,5217,2024-07-11,Outage,High,13.0,3,0
2796,5217,2024-07-19,Billing,High,47.1,5,0
3005,5535,2024-07-04,How-to,Critical,36.2,3,1
3006,5535,2024-07-17,Billing,Medium,18.5,5,0
3007,5535,2024-07-20,Billing,High,14.4,2,0
3008,5535,2024-07-18,Outage,Low,16.3,3,0
3009,5535,2024-07-20,Bug,Critical,88.3,3,1
3018,5566,2024-07-08,Outage,Medium,9.1,4,0
3077,5717,2024-07-15,Billing,Medium,11.8,3,0
3078,5717,2024-07-23,Outage,Medium,79.7,3,0
3079,5717,2024-07-19,Feature Request,Medium,18.4,3,0
3097,5749,2024-07-23,Outage,Medium,32.4,3,0
3282,6096,2024-07-02,Integration,High,4.6,4,1
3295,6117,2024-07-21,Outage,Low,14.0,4,0
3296,6117,2024-07-31,Feature Request,Low,6.2,4,0
3297,6117,2024-07-06,Outage,Medium,44.9,3,0
3298,6117,2024-07-22,Outage,Low,15.4,4,0
3307,6149,2024-07-14,Bug,Low,2.7,3,0
3308,6149,2024-07-11,How-to,Low,10.8,4,0
3309,6149,2024-07-21,How-to,Medium,18.2,3,0
3310,6149,2024-07-03,Bug,High,56.1,4,0
3311,6149,2024-07-21,Outage,Medium,9.1,4,0
3372,6298,2024-07-03,How-to,Low,43.2,4,0
3473,6514,2024-07-01,Performance,High,52.7,4,0
3474,6514,2024-07-02,How-to,Low,17.5,3,0
3475,6514,2024-07-09,Bug,Low,26.9,4,0
3490,6545,2024-07-01,Feature Request,Low,8.2,4,0
3601,6786,2024-07-19,Integration,Low,26.6,4,0
3602,6786,2024-07-17,Outage,Medium,8.9,4,0
3849,7342,2024-07-15,Outage,Medium,21.7,4,0
3850,7342,2024-07-04,How-to,Low,9.3,3,0
3851,7342,2024-07-18,Performance,Low,19.1,4,0
3854,7357,2024-07-08,Feature Request,High,44.6,4,0
3905,7429,2024-07-01,Bug,High,41.7,3,0
3906,7429,2024-07-28,How-to,High,28.2,4,0
3907,7430,2024-07-26,Performance,Medium,11.8,3,0
3908,7430,2024-07-01,Billing,Medium,14.3,4,0
3937,7486,2024-07-19,Integration,High,11.9,4,0
4207,7979,2024-07-25,Feature Request,Medium,17.7,3,0
4216,8004,2024-07-04,Performance,Low,12.8,5,0
4217,8004,2024-07-12,Performance,Medium,8.5,3,0
4233,8039,2024-07-06,Billing,High,89.9,3,0
4262,8107,2024-07-25,How-to,Low,2.1,4,0
4301,8186,2024-07-06,Billing,Medium,103.1,4,0
4409,8392,2024-07-16,Bug,Medium,15.0,5,0
4543,8646,2024-07-15,Feature Request,Medium,7.9,5,0
4544,8646,2024-07-15,Feature Request,Medium,32.9,3,0
4545,8646,2024-07-15,Feature Request,High,73.1,2,0
4546,8646,2024-07-30,Bug,Low,3.6,2,0
4547,8646,2024-07-30,Billing,Low,31.6,4,0
4637,8874,2024-07-27,Billing,Low,3.7,3,0
4638,8874,2024-07-10,Bug,High,29.6,2,0
4655,8895,2024-07-15,Billing,Medium,8.0,5,0
4702,8982,2024-07-29,Feature Request,Medium,92.7,4,0
4730,9083,2024-07-22,Outage,Medium,20.0,3,0
4731,9083,2024-07-21,Billing,Medium,7.4,4,0
4933,9505,2024-07-30,Bug,Medium,13.2,4,0
4934,9505,2024-07-23,Bug,Medium,8.0,4,0
4964,9557,2024-07-31,Integration,High,34.6,2,0
4965,9557,2024-07-31,How-to,High,28.0,4,1
5079,9768,2024-07-30,Outage,Medium,24.8,2,0
5118,9866,2024-07-04,Performance,Low,11.0,4,0
5186,10006,2024-07-17,How-to,Medium,11.3,3,0
5257,10214,2024-07-14,Bug,Low,6.4,4,0
5315,10289,2024-07-15,Outage,High,59.9,3,0
5316,10289,2024-07-06,Bug,Low,13.3,3,0
5324,10299,2024-07-14,Feature Request,Low,15.9,5,0
5325,10299,2024-07-27,Integration,High,23.1,4,0
5326,10299,2024-07-30,Bug,Medium,37.0,4,0
5416,10457,2024-07-03,Feature Request,High,95.1,4,0
5417,10457,2024-07-18,Feature Request,Low,25.5,4,0
5418,10457,2024-07-29,Integration,Low,10.0,5,0
5419,10457,2024-07-05,Feature Request,Low,13.1,3,0
5443,10490,2024-07-07,Integration,Medium,38.9,5,0
5566,10771,2024-07-04,Integration,Medium,30.3,5,0
5675,10974,2024-07-30,Outage,Medium,7.4,3,0
5676,10974,2024-07-26,Performance,Low,9.6,5,0
5962,11496,2024-07-20,Integration,Critical,21.5,4,1
5963,11496,2024-07-16,Performance,Medium,36.1,3,0
5964,11496,2024-07-10,How-to,Medium,24.8,3,0
6170,11883,2024-07-01,Bug,Critical,36.9,1,0
6171,11883,2024-07-03,Outage,Low,12.1,3,0
6172,11883,2024-07-04,Performance,Low,9.8,4,0
6173,11883,2024-07-02,Billing,Medium,31.9,4,0
6174,11883,2024-07-17,How-to,Medium,5.3,4,0
6175,11883,2024-07-31,Billing,Low,10.9,5,0
6264,12095,2024-07-09,Outage,Medium,17.7,4,0
6294,12176,2024-07-04,Outage,Medium,11.3,4,0
6295,12176,2024-07-06,Performance,Medium,17.8,3,0
6310,12218,2024-07-08,Feature Request,Low,8.9,3,0
6396,12358,2024-07-16,How-to,Low,11.8,5,0
6397,12358,2024-07-13,Feature Request,Medium,8.2,4,0
6398,12358,2024-07-29,Outage,Medium,13.0,3,0
6535,12587,2024-07-08,Bug,Low,2.2,4,0
6536,12587,2024-07-21,Outage,High,31.6,3,0
6537,12587,2024-07-23,Integration,High,19.0,3,1
6538,12588,2024-07-08,Integration,Low,20.8,5,0
6539,12588,2024-07-31,Billing,Medium,16.0,3,0
6540,12588,2024-07-11,Performance,Medium,31.1,5,0
6541,12590,2024-07-04,Billing,Medium,37.2,4,0
6542,12590,2024-07-09,Performance,Medium,73.7,4,0
6543,12590,2024-07-09,Billing,Low,17.8,4,0
6544,12590,2024-07-21,How-to,Low,2.5,3,0
6545,12590,2024-07-03,Feature Request,Critical,32.4,3,0
6655,12832,2024-07-14,How-to,High,66.7,2,1
6656,12832,2024-07-04,Billing,Low,7.0,3,0
6673,12867,2024-07-31,Bug,High,60.1,4,0
6700,12931,2024-07-26,Bug,Medium,35.7,5,0
6701,12931,2024-07-16,Feature Request,Medium,19.6,2,0
6705,12951,2024-07-30,Bug,Low,5.0,5,0
6730,13010,2024-07-08,Integration,Low,4.6,4,0
6731,13010,2024-07-24,How-to,High,37.4,4,0
6859,13254,2024-07-20,Billing,High,21.7,3,0
6931,13422,2024-07-15,Feature Request,Medium,15.9,4,0
6949,13468,2024-07-30,How-to,High,47.5,4,1
6950,13468,2024-07-20,Billing,Low,3.7,4,0
6990,13552,2024-07-31,Bug,Low,0.9,3,0
6991,13552,2024-07-28,Integration,Medium,17.5,2,0
7007,13575,2024-07-03,Integration,Low,9.3,1,0
7008,13575,2024-07-04,Feature Request,Low,14.1,3,0
7036,13637,2024-07-10,Billing,Low,9.6,4,0
7037,13637,2024-07-28,Feature Request,Low,10.9,5,0
7072,13704,2024-07-27,Integration,Low,11.9,5,0
7386,14362,2024-07-11,Integration,Low,12.9,4,0
7387,14362,2024-07-12,Integration,Medium,2.1,5,0
7560,14642,2024-07-21,Outage,Medium,21.7,4,0
7584,14690,2024-07-13,Outage,Medium,5.5,2,0
7608,14732,2024-07-24,Outage,Critical,7.8,2,0
7626,14778,2024-07-15,Feature Request,Medium,35.8,4,0
7637,14803,2024-07-25,Billing,Low,3.4,5,0
7948,15412,2024-07-13,Integration,High,33.9,3,0
7980,15472,2024-07-31,Outage,Low,5.3,4,0
7981,15472,2024-07-24,Integration,Medium,28.8,4,0
7991,15508,2024-07-27,Bug,High,163.4,3,0
7992,15508,2024-07-02,Bug,Medium,19.8,3,0
7993,15508,2024-07-09,Feature Request,Medium,36.5,2,0
8047,15612,2024-07-16,How-to,High,21.4,4,0
8048,15612,2024-07-27,Feature Request,Medium,10.2,2,0
8255,16009,2024-07-24,How-to,Low,19.2,3,0
8297,16073,2024-07-22,Bug,Low,9.8,3,0
8298,16073,2024-07-02,Integration,Medium,32.6,3,0
8571,16712,2024-07-31,Bug,Low,14.5,4,0
8572,16712,2024-07-04,Outage,Critical,66.5,1,0
8573,16712,2024-07-06,Feature Request,Low,23.8,4,0
8574,16712,2024-07-08,Integration,Low,20.2,4,0
8763,17095,2024-07-21,Integration,Low,5.0,4,0
8989,17555,2024-07-22,How-to,Low,27.3,5,0
9199,17920,2024-07-06,Outage,Medium,39.2,4,0
9200,17920,2024-07-30,Bug,Low,7.7,5,0
9201,17920,2024-07-17,Integration,Medium,72.1,5,0
9202,17920,2024-07-30,Feature Request,Low,20.8,3,0
9203,17920,2024-07-10,Outage,High,61.7,4,0
9204,17920,2024-07-30,Performance,Low,3.3,3,0
9205,17920,2024-07-27,Outage,Medium,38.8,4,0
9206,17920,2024-07-02,Billing,Low,21.5,3,0
9207,17920,2024-07-15,Billing,Medium,13.2,5,0
9247,17998,2024-07-10,Outage,Low,14.6,4,0
9252,18013,2024-07-04,Feature Request,Medium,58.4,3,0
9285,18088,2024-07-16,Bug,Medium,22.0,3,0
9291,18104,2024-07-03,Billing,Medium,35.9,5,0
9299,18130,2024-07-11,Integration,Low,5.0,4,0
9337,18211,2024-07-23,Feature Request,Low,26.0,5,0
9387,18303,2024-07-07,Feature Request,Medium,5.2,4,0
9525,18662,2024-07-21,Outage,High,17.3,1,1
9550,18710,2024-07-24,Bug,Critical,67.7,4,1
9551,18710,2024-07-28,Billing,Low,3.9,4,0
9559,18732,2024-07-09,Outage,Medium,30.5,4,0
9604,18811,2024-07-11,How-to,Critical,123.0,4,1
9605,18811,2024-07-10,Feature Request,High,24.7,5,0
9606,18811,2024-07-30,How-to,Low,11.8,5,0
9607,18811,2024-07-16,Feature Request,Medium,6.3,5,0
9712,19002,2024-07-09,Outage,Low,9.4,5,0
9713,19002,2024-07-31,Performance,Medium,10.5,4,0
9714,19002,2024-07-01,Billing,High,25.4,4,0
9715,19002,2024-07-20,Bug,Medium,20.0,5,0
9755,19079,2024-07-10,Integration,Medium,19.8,3,0
9756,19079,2024-07-10,Integration,Low,6.4,5,0
9761,19095,2024-07-21,Performance,Low,6.4,3,0
9762,19095,2024-07-07,Bug,Medium,12.8,4,0
9812,19198,2024-07-20,Outage,Medium,18.4,3,0
9813,19198,2024-07-13,Integration,High,23.6,1,0
9814,19198,2024-07-25,Feature Request,Medium,4.9,4,0
9950,19468,2024-07-10,Outage,Low,88.8,3,0
10095,19729,2024-07-21,Integration,Low,20.8,3,0
10109,19777,2024-07-22,Integration,Low,12.0,3,0
10110,19777,2024-07-10,Billing,High,37.2,5,1
10193,19926,2024-07-22,Billing,Low,18.9,4,0
10311,20162,2024-07-08,Billing,Medium,13.3,3,0
10312,20162,2024-07-12,Feature Request,Medium,6.0,3,0
10398,20296,2024-07-20,How-to,Medium,24.2,4,0
10508,20457,2024-07-24,Performance,Low,5.0,5,0
10509,20457,2024-07-17,Feature Request,Medium,6.1,5,0
10528,20493,2024-07-24,Billing,High,57.4,4,0
10549,20516,2024-07-07,Billing,Medium,26.5,4,0
10550,20516,2024-07-22,Outage,Critical,44.2,3,0
10600,20595,2024-07-29,Feature Request,High,51.9,2,1
10601,20595,2024-07-18,Feature Request,Medium,27.3,5,0
10647,20686,2024-07-19,Performance,High,58.0,3,0
10648,20686,2024-07-28,Outage,Medium,33.6,3,0
10649,20686,2024-07-27,Performance,Low,17.8,4,0
10653,20711,2024-07-12,Feature Request,Medium,17.1,4,0
10654,20711,2024-07-24,Outage,Critical,14.2,2,0
10799,20992,2024-07-23,Billing,Critical,24.6,2,0
10800,20992,2024-07-19,Outage,Medium,5.7,4,0
10812,21026,2024-07-28,Integration,Medium,17.4,5,0
11172,21682,2024-07-30,Integration,Low,3.2,4,0
11173,21682,2024-07-27,Billing,Low,3.2,3,0
11174,21682,2024-07-25,Performance,High,29.9,4,1
11175,21682,2024-07-06,Bug,High,21.0,3,1
11176,21682,2024-07-21,How-to,High,16.8,4,0
11210,21751,2024-07-26,Performance,Medium,6.2,3,0
11423,22139,2024-07-30,Bug,Medium,21.0,4,0
11435,22154,2024-07-23,Integration,High,29.2,4,0
11436,22154,2024-07-16,Integration,Medium,20.6,2,0
11554,22372,2024-07-01,Performance,High,46.9,5,0
11555,22372,2024-07-22,Integration,Medium,23.3,5,0
11605,22475,2024-07-13,Feature Request,High,50.8,2,1
11606,22475,2024-07-03,Performance,Medium,15.3,2,0
11610,22485,2024-07-04,Billing,Medium,24.0,4,0
11611,22485,2024-07-31,Outage,Low,8.6,3,0
11656,22603,2024-07-26,Feature Request,High,64.1,5,1
11707,22710,2024-07-15,Bug,Low,15.5,3,0
11797,22915,2024-07-07,Outage,Medium,5.6,4,0
11798,22915,2024-07-17,Performance,Critical,22.3,3,0
11851,22999,2024-07-14,Billing,Low,2.8,4,0
11852,22999,2024-07-01,Outage,Critical,7.8,2,1
12113,23490,2024-07-18,Billing,Medium,27.8,4,0
12114,23490,2024-07-03,Billing,Low,14.4,4,0
12119,23508,2024-07-16,Performance,Medium,4.7,3,0
12120,23508,2024-07-09,Billing,Medium,15.3,5,0
12355,23931,2024-07-22,Feature Request,Low,22.1,4,0
12356,23931,2024-07-11,Outage,Medium,56.7,4,0
12357,23931,2024-07-14,Performance,Low,11.8,5,0
12358,23931,2024-07-29,Feature Request,High,78.1,3,0
12359,23931,2024-07-28,How-to,Critical,36.5,2,1
12375,23959,2024-07-21,Outage,Low,4.4,4,0
12655,24530,2024-07-16,Billing,Medium,52.5,3,0
12725,24630,2024-07-04,Outage,Medium,33.9,5,0
12753,24703,2024-07-06,How-to,Medium,8.1,3,0
12754,24703,2024-07-13,Performance,Low,22.3,4,0
12768,24733,2024-07-10,Feature Request,Medium,33.5,4,0
12769,24733,2024-07-29,How-to,Low,15.9,4,0
12869,24948,2024-07-01,Feature Request,Critical,75.3,2,0
12978,25145,2024-07-19,How-to,Medium,50.8,4,0
12979,25145,2024-07-18,Integration,Medium,10.8,4,0
13032,25235,2024-07-31,Bug,Low,12.6,5,0
13038,25256,2024-07-05,Billing,Low,5.9,3,0
13073,25336,2024-07-07,Integration,Low,30.1,4,0
13178,25560,2024-07-30,Integration,Medium,29.4,4,0
13179,25560,2024-07-22,How-to,Low,15.7,3,0
13232,25666,2024-07-10,Outage,Low,9.6,4,0
13233,25666,2024-07-27,Billing,Medium,26.8,4,0
13242,25679,2024-07-21,Billing,Low,7.1,5,0
13243,25679,2024-07-03,Feature Request,Medium,7.7,5,0
13246,25687,2024-07-01,Billing,Medium,21.8,3,0
13247,25687,2024-07-01,Billing,Medium,10.1,4,0
13425,25988,2024-07-19,Outage,High,6.8,4,0
13426,25988,2024-07-16,Outage,Medium,6.0,4,0
13427,25988,2024-07-22,Integration,Low,10.5,5,0
13743,26568,2024-07-07,Bug,Low,11.4,3,0
13744,26568,2024-07-19,Outage,Medium,20.1,3,0
13745,26568,2024-07-01,How-to,Low,13.9,4,0
13746,26568,2024-07-10,Billing,High,50.2,3,0
13757,26592,2024-07-09,Feature Request,Low,9.2,4,0
13758,26592,2024-07-21,Billing,Low,7.1,3,0
13876,26817,2024-07-30,Feature Request,Low,8.2,4,0
13877,26817,2024-07-08,Feature Request,Medium,11.9,4,0
13913,26911,2024-07-04,Bug,High,17.4,2,1
14189,27387,2024-07-29,Billing,Medium,40.5,4,0
14284,27545,2024-07-14,Outage,Low,3.2,5,0
14304,27588,2024-07-06,Performance,Low,21.1,3,0
14371,27708,2024-07-03,Integration,Low,3.5,5,0
14416,27791,2024-07-21,Billing,Low,29.3,3,0
14417,27791,2024-07-05,Outage,Medium,59.1,4,0
14617,28082,2024-07-01,Feature Request,High,67.4,1,0
14618,28082,2024-07-29,How-to,Medium,4.8,4,0
14729,28276,2024-07-23,How-to,Low,4.7,5,0
14801,28412,2024-07-07,Integration,Low,21.4,4,0
15046,28909,2024-07-12,How-to,Low,7.1,5,0
15047,28909,2024-07-20,Integration,Low,16.7,5,0
15048,28909,2024-07-31,How-to,Medium,75.1,4,0
15166,29124,2024-07-14,Feature Request,Low,8.0,5,0
15263,29302,2024-07-28,Bug,Low,8.1,4,0
15264,29302,2024-07-08,Performance,Low,13.1,3,0
15265,29302,2024-07-17,Billing,Medium,57.9,4,0
15266,29303,2024-07-21,Performance,Low,0.6,5,0
15267,29303,2024-07-28,Performance,Low,5.0,5,0
15279,29327,2024-07-30,Billing,Low,1.7,4,0
15280,29327,2024-07-16,Performance,Medium,19.7,5,0
15281,29327,2024-07-28,Outage,Critical,77.0,2,0
15282,29331,2024-07-03,Billing,Low,5.3,4,0
15367,29499,2024-07-12,Billing,Low,10.7,4,0
15477,29679,2024-07-31,Billing,Critical,39.7,3,1
15478,29679,2024-07-03,Feature Request,High,30.8,3,0
15479,29679,2024-07-06,Bug,Low,6.9,4,0
15480,29679,2024-07-22,How-to,Low,11.7,5,0
15499,29721,2024-07-27,How-to,Critical,29.7,4,0
15577,29897,2024-07-04,Integration,Medium,11.7,5,0
15585,29918,2024-07-13,Feature Request,Low,20.6,4,0
15589,29922,2024-07-15,Feature Request,Medium,4.6,4,0
15590,29922,2024-07-14,Billing,Medium,7.6,4,0
15591,29922,2024-07-12,Billing,Low,11.8,4,0
15592,29922,2024-07-20,How-to,Low,10.4,5,0
15593,29922,2024-07-27,Billing,Low,6.0,3,0
15594,29926,2024-07-11,Feature Request,Low,13.0,4,0
15595,29926,2024-07-17,Performance,Low,17.1,3,0
15816,30372,2024-07-22,Feature Request,Low,10.2,3,0
15817,30372,2024-07-14,How-to,Medium,22.5,4,0
15818,30372,2024-07-27,Feature Request,Medium,58.6,3,0
15831,30382,2024-07-25,How-to,Critical,102.5,4,0
15938,30593,2024-07-03,Performance,Low,3.5,3,0
15939,30593,2024-07-27,Performance,High,6.6,4,1
15940,30593,2024-07-14,Integration,Low,8.3,3,0
16097,30905,2024-07-27,Performance,Low,29.5,4,0
16142,31005,2024-07-11,Outage,Low,39.1,4,0
16143,31005,2024-07-17,Billing,Medium,20.0,2,0
16144,31005,2024-07-04,Billing,Low,5.5,3,0
16145,31005,2024-07-01,Feature Request,Low,21.9,4,0
16206,31113,2024-07-28,Performance,Medium,60.2,4,0
16211,31125,2024-07-12,Integration,Medium,21.8,3,0
16212,31125,2024-07-01,Billing,Medium,40.5,4,0
16252,31179,2024-07-04,Bug,Medium,19.3,4,0
16316,31286,2024-07-04,Integration,High,13.9,4,1
16418,31468,2024-07-20,Feature Request,Medium,24.4,3,0
16476,31563,2024-07-27,Performance,Medium,41.5,3,0
16491,31595,2024-07-31,Bug,Medium,39.3,4,0
16552,31691,2024-07-19,How-to,Medium,19.6,5,0
16553,31691,2024-07-09,Bug,Medium,30.1,3,0
16562,31726,2024-07-30,Performance,High,8.0,4,0
16563,31726,2024-07-20,Outage,Medium,36.4,3,0
16583,31786,2024-07-23,How-to,Medium,16.2,3,0
16584,31786,2024-07-14,Integration,Low,31.9,5,0
16585,31786,2024-07-30,Outage,Low,13.9,3,0
16586,31786,2024-07-09,Integration,Low,8.4,5,0
16973,32531,2024-07-06,Performance,Medium,21.2,5,0
17014,32601,2024-07-22,How-to,Critical,9.4,5,0
17015,32601,2024-07-24,Bug,High,23.4,3,0
17028,32628,2024-07-11,Billing,Medium,9.4,4,0
17048,32670,2024-07-16,Performance,Low,7.5,4,0
17050,32673,2024-07-18,Integration,Low,5.7,4,0
17051,32673,2024-07-17,Feature Request,Low,22.3,4,0
17052,32673,2024-07-28,Billing,Medium,21.1,4,0
17053,32673,2024-07-06,Outage,Medium,20.2,4,0
17139,32811,2024-07-15,Billing,Critical,50.0,2,0
17166,32896,2024-07-26,Performance,Medium,4.4,2,0
17167,32896,2024-07-28,Performance,Low,18.6,5,0
17168,32896,2024-07-25,Bug,Low,13.5,5,0
17169,32896,2024-07-04,Outage,Medium,9.2,3,0
17170,32896,2024-07-06,Bug,Medium,17.2,5,0
17175,32920,2024-07-12,Feature Request,Critical,58.2,3,1
17181,32935,2024-07-29,Bug,Medium,23.2,3,0
17218,33021,2024-07-31,Integration,Medium,41.6,4,0
17361,33372,2024-07-09,Bug,High,36.8,3,0
17362,33372,2024-07-10,Performance,Low,18.8,3,0
17363,33372,2024-07-09,Billing,Critical,123.9,2,1
17364,33372,2024-07-26,Integration,Medium,24.8,5,0
17365,33372,2024-07-27,Outage,Low,14.5,3,0
17366,33372,2024-07-31,Bug,Low,38.6,3,0
17372,33383,2024-07-08,Feature Request,Medium,6.0,3,0
17373,33383,2024-07-14,Bug,High,11.8,5,0
17374,33383,2024-07-06,Outage,High,35.5,2,1
17375,33383,2024-07-13,Bug,Low,4.9,3,0
17376,33383,2024-07-16,Feature Request,High,23.3,3,1
17537,33774,2024-07-14,How-to,Medium,34.6,3,0
17545,33796,2024-07-10,Billing,Medium,13.7,5,0
17546,33796,2024-07-09,Billing,High,26.1,3,1
17595,33871,2024-07-22,Integration,Low,18.5,2,0
17596,33871,2024-07-20,Integration,Medium,42.4,3,0
17597,33871,2024-07-17,How-to,High,8.7,3,0
17598,33871,2024-07-25,Billing,High,31.9,2,0
17611,33925,2024-07-16,Integration,High,91.1,4,1
17612,33925,2024-07-03,Performance,Medium,34.3,4,0
17632,33971,2024-07-11,Outage,Medium,73.7,5,0
17639,33975,2024-07-12,How-to,High,8.6,5,0
17642,33986,2024-07-19,Feature Request,Low,17.8,5,0
17785,34261,2024-07-09,Bug,Low,13.8,4,0
17786,34261,2024-07-26,Feature Request,Low,5.1,5,0
17787,34261,2024-07-29,Bug,High,30.4,5,1
17788,34261,2024-07-10,How-to,Low,8.4,4,0
17789,34261,2024-07-15,Integration,Low,30.4,5,0
17792,34268,2024-07-27,Billing,Medium,18.2,4,0
17793,34268,2024-07-13,Integration,Low,7.9,3,0
17908,34482,2024-07-27,Bug,Low,23.3,4,0
18040,34735,2024-07-31,Feature Request,Low,0.5,5,0
18041,34735,2024-07-16,Feature Request,Low,2.5,4,0
18042,34735,2024-07-24,Feature Request,Low,17.7,3,0
18043,34735,2024-07-09,How-to,Medium,7.0,5,0
18065,34795,2024-07-09,Bug,Low,6.8,3,0
18093,34863,2024-07-23,Outage,Low,17.4,4,0
18094,34863,2024-07-17,Outage,Low,10.5,5,0
18098,34879,2024-07-03,How-to,Medium,14.6,4,0
18099,34879,2024-07-01,Bug,High,41.5,4,1
18160,34988,2024-07-02,Outage,Low,3.5,4,0
18161,34988,2024-07-26,How-to,Low,18.0,4,0
18162,34988,2024-07-22,Outage,Medium,10.8,3,0
18243,35136,2024-07-02,Performance,Low,6.8,4,0
18244,35136,2024-07-13,Feature Request,Medium,22.4,3,0
18355,35343,2024-07-18,How-to,Low,34.0,5,0
18356,35343,2024-07-16,Feature Request,Low,5.3,5,0
18357,35343,2024-07-11,Outage,Low,19.8,5,0
18358,35343,2024-07-31,Feature Request,Low,26.2,3,0
18359,35343,2024-07-24,Outage,High,56.9,3,1
18436,35528,2024-07-29,Billing,Low,18.8,5,0
18542,35710,2024-07-10,How-to,Low,8.2,5,0
18543,35710,2024-07-18,Outage,Low,8.7,4,0
18607,35860,2024-07-03,How-to,Low,14.3,5,0
18687,36021,2024-07-19,Billing,Medium,16.7,5,0
18688,36021,2024-07-16,How-to,Low,25.5,4,0
18689,36021,2024-07-03,Billing,Low,10.1,5,0
18690,36021,2024-07-01,Billing,Medium,18.6,3,0
18691,36021,2024-07-21,Billing,Critical,28.9,3,0
18692,36021,2024-07-24,Performance,Medium,13.5,4,0
18785,36197,2024-07-30,Bug,High,6.4,3,0
18786,36197,2024-07-13,Billing,High,21.4,3,0
18881,36413,2024-07-17,Bug,High,5.5,3,0
18882,36413,2024-07-10,Feature Request,Medium,64.3,3,0
19173,36980,2024-07-21,How-to,Medium,34.5,2,0
19225,37109,2024-07-17,Integration,High,25.3,3,0
19226,37109,2024-07-01,Feature Request,Low,8.3,3,0
19365,37398,2024-07-07,How-to,High,24.7,5,0
19366,37398,2024-07-02,Feature Request,High,29.2,5,1
19397,37460,2024-07-13,Billing,High,52.5,3,0
19483,37605,2024-07-17,Outage,Low,10.9,3,0
19671,37982,2024-07-26,Outage,Medium,19.4,4,0
19813,38227,2024-07-03,Billing,High,66.7,3,0
