customer_id,month_start,logins,active_days,seats_active,features_used,features_available,api_calls
8107,2024-07-01,18,14,18,20,28,685
8179,2024-07-01,37,20,47,21,28,16134
8186,2024-07-01,22,16,22,10,45,1830
8339,2024-07-01,38,20,32,41,45,4885
8359,2024-07-01,25,17,72,42,60,5249
8377,2024-07-01,15,14,3,9,12,347
8392,2024-07-01,54,19,7,9,12,1219
8646,2024-07-01,0,0,1,1,12,175
8712,2024-07-01,12,12,3,11,28,152
8727,2024-07-01,17,15,10,9,28,1242
8775,2024-07-01,46,20,1,7,12,123
8844,2024-07-01,47,20,10,24,28,1909
8874,2024-07-01,13,12,35,13,28,6987
8895,2024-07-01,34,19,121,37,60,5199
8982,2024-07-01,8,9,32,21,60,2397
9083,2024-07-01,35,19,5,11,12,792
9141,2024-07-01,27,17,3,22,28,874
9272,2024-07-01,31,20,2,9,12,169
9477,2024-07-01,7,11,19,25,60,1800
9505,2024-07-01,14,13,48,25,45,17363
9557,2024-07-01,17,12,54,41,45,3724
9636,2024-07-01,39,20,21,20,28,7804
9703,2024-07-01,36,18,25,45,60,5195
9720,2024-07-01,33,19,10,11,12,4241
9768,2024-07-01,25,16,24,9,45,6712
9836,2024-07-01,12,16,34,17,45,1445
9866,2024-07-01,20,16,9,8,12,156
9913,2024-07-01,60,21,2,24,28,879
10006,2024-07-01,40,18,66,14,45,14220
10214,2024-07-01,11,14,2,7,12,200
10289,2024-07-01,2,4,7,12,45,239
10299,2024-07-01,29,19,78,43,60,11918
10316,2024-07-01,19,19,34,7,45,3610
10429,2024-07-01,31,16,57,26,45,4261
10457,2024-07-01,3,4,1,3,12,117
10490,2024-07-01,51,20,4,11,12,152
10771,2024-07-01,14,14,24,12,45,2611
10883,2024-07-01,44,21,116,48,60,23914
10941,2024-07-01,9,9,13,37,45,1354
10974,2024-07-01,20,19,21,27,45,654
11277,2024-07-01,18,16,86,34,60,5616
11496,2024-07-01,29,15,1,16,28,135
11527,2024-07-01,17,16,3,23,28,77
11877,2024-07-01,7,8,6,5,12,1223
11883,2024-07-01,42,22,50,33,45,11459
12095,2024-07-01,16,13,28,24,45,957
12103,2024-07-01,12,9,38,15,45,6452
12176,2024-07-01,11,10,34,16,45,551
12218,2024-07-01,16,15,8,5,12,1758
12276,2024-07-01,39,18,4,9,12,611
12321,2024-07-01,13,11,29,30,45,2401
12357,2024-07-01,44,18,38,42,45,2386
12358,2024-07-01,12,11,3,6,28,586
12375,2024-07-01,28,18,49,48,60,8731
12436,2024-07-01,31,18,5,26,28,1452
12587,2024-07-01,28,17,47,15,45,13130
12588,2024-07-01,13,13,7,5,12,770
12590,2024-07-01,22,17,82,38,60,6731
12617,2024-07-01,23,19,54,31,60,24988
12832,2024-07-01,4,7,6,2,12,859
12867,2024-07-01,37,20,7,18,28,3383
12923,2024-07-01,21,17,22,10,45,4663
12931,2024-07-01,7,10,6,6,28,208
12951,2024-07-01,15,11,96,52,60,33392
12990,2024-07-01,23,19,1,4,12,145
13010,2024-07-01,34,20,71,41,45,8410
13155,2024-07-01,18,15,1,10,12,164
13215,2024-07-01,28,18,8,23,28,1363
13254,2024-07-01,22,15,7,24,28,3750
13308,2024-07-01,19,14,3,9,12,334
13422,2024-07-01,19,17,91,23,60,3862
13468,2024-07-01,28,14,3,20,28,630
13552,2024-07-01,18,15,5,12,28,1374
13575,2024-07-01,6,10,7,4,60,160
13618,2024-07-01,68,21,2,24,28,486
13637,2024-07-01,43,20,10,18,28,1127
13704,2024-07-01,16,13,2,3,12,220
14020,2024-07-01,32,16,3,13,28,441
14271,2024-07-01,29,19,7,10,12,146
14289,2024-07-01,58,20,37,34,60,12318
14362,2024-07-01,12,13,3,6,12,194
14388,2024-07-01,15,14,3,4,12,339
14642,2024-07-01,13,12,1,8,45,83
14690,2024-07-01,1,2,78,17,60,18451
14732,2024-07-01,53,22,5,22,28,1336
14778,2024-07-01,13,11,7,24,45,236
14803,2024-07-01,27,17,9,4,12,1727
14970,2024-07-01,31,16,2,16,28,17
15049,2024-07-01,46,19,8,6,12,1472
15189,2024-07-01,24,16,7,10,12,1803
15256,2024-07-01,62,22,11,8,12,710
15412,2024-07-01,23,16,17,16,28,222
15472,2024-07-01,10,15,3,4,28,161
15508,2024-07-01,2,2,1,5,45,43
15612,2024-07-01,26,16,7,2,12,710
15628,2024-07-01,27,17,41,26,45,3991
15642,2024-07-01,13,10,3,25,28,402
16009,2024-07-01,32,17,40,34,45,3801
16073,2024-07-01,12,12,28,34,45,2051
16280,2024-07-01,27,15,7,24,28,1099
16353,2024-07-01,67,20,5,8,12,364
16381,2024-07-01,27,18,5,11,12,615
16405,2024-07-01,25,17,82,28,60,4525
16705,2024-07-01,13,16,3,9,12,258
16712,2024-07-01,7,9,45,28,60,3634
16769,2024-07-01,29,14,35,12,45,6623
16832,2024-07-01,15,12,2,26,28,477
17095,2024-07-01,22,19,24,25,60,2520
17368,2024-07-01,26,18,6,17,28,944
17430,2024-07-01,55,22,188,44,60,75794
17555,2024-07-01,13,14,24,18,28,175
17648,2024-07-01,21,14,6,11,12,965
17724,2024-07-01,51,22,2,21,28,322
17800,2024-07-01,37,18,24,43,45,6269
17920,2024-07-01,4,6,8,7,60,366
17974,2024-07-01,30,18,9,10,12,496
17993,2024-07-01,26,15,35,35,60,28284
17998,2024-07-01,29,16,8,11,12,1258
18013,2024-07-01,37,21,4,7,12,405
18057,2024-07-01,36,18,6,23,28,592
18088,2024-07-01,27,18,9,17,28,939
18104,2024-07-01,16,13,16,13,45,1680
18130,2024-07-01,40,21,66,11,45,8454
18211,2024-07-01,22,15,4,20,28,1007
18219,2024-07-01,50,18,25,42,45,2464
18303,2024-07-01,39,20,9,33,45,3879
18662,2024-07-01,13,14,5,4,12,878
18710,2024-07-01,23,14,5,17,28,430
18732,2024-07-01,35,16,2,9,12,823
18808,2024-07-01,14,13,4,10,12,802
18811,2024-07-01,33,18,2,21,45,179
18901,2024-07-01,26,16,21,24,28,504
18914,2024-07-01,52,21,9,4,12,334
18943,2024-07-01,18,15,5,5,12,1535
19002,2024-07-01,27,18,63,37,45,2453
19036,2024-07-01,14,12,34,45,60,844
19079,2024-07-01,43,21,40,23,28,4506
19095,2024-07-01,17,13,8,18,28,627
19198,2024-07-01,15,17,11,15,28,293
19468,2024-07-01,2,4,2,2,12,373
19729,2024-07-01,54,21,15,24,28,1587
19777,2024-07-01,19,17,4,5,12,256
19926,2024-07-01,47,17,4,36,45,233
20071,2024-07-01,25,17,6,9,12,2321
20131,2024-07-01,18,14,2,7,28,684
20162,2024-07-01,15,15,26,32,45,4073
20296,2024-07-01,14,13,9,4,12,597
20457,2024-07-01,36,18,3,24,28,328
20493,2024-07-01,55,20,6,22,28,466
20516,2024-07-01,40,20,7,22,28,2594
20595,2024-07-01,4,5,1,2,12,69
20686,2024-07-01,25,19,69,45,60,19924
20711,2024-07-01,9,9,14,39,60,221
20940,2024-07-01,22,16,5,7,12,526
20992,2024-07-01,27,18,4,10,12,402
21026,2024-07-01,61,22,5,9,12,1245
21504,2024-07-01,30,17,5,24,28,1790
21542,2024-07-01,17,12,6,7,12,866
21682,2024-07-01,5,8,18,19,45,2164
21751,2024-07-01,14,14,9,32,45,1037
22139,2024-07-01,28,19,4,7,12,609
22154,2024-07-01,25,14,6,9,12,1488
22372,2024-07-01,32,17,7,9,12,1001
22475,2024-07-01,7,10,6,12,28,518
22485,2024-07-01,26,19,21,23,28,1831
22603,2024-07-01,28,15,119,53,60,9014
22676,2024-07-01,25,17,3,17,28,86
22710,2024-07-01,39,20,2,4,12,521
22836,2024-07-01,47,21,5,22,28,1001
22915,2024-07-01,29,17,4,10,12,211
22949,2024-07-01,20,14,34,45,60,2531
22999,2024-07-01,25,15,27,35,45,2579
23169,2024-07-01,31,17,5,4,12,706
23490,2024-07-01,18,12,8,4,12,1550
23508,2024-07-01,12,14,2,19,45,313
23931,2024-07-01,23,16,53,25,28,9673
23959,2024-07-01,30,16,4,11,12,112
24199,2024-07-01,44,21,16,40,45,6306
24244,2024-07-01,35,17,13,38,45,756
24530,2024-07-01,25,14,10,8,12,1281
24630,2024-07-01,29,19,7,21,28,1064
24703,2024-07-01,26,18,3,14,28,268
24733,2024-07-01,20,16,9,18,28,467
24772,2024-07-01,25,17,4,11,12,1116
24948,2024-07-01,37,21,10,11,12,1815
25035,2024-07-01,48,19,7,11,12,2164
25145,2024-07-01,23,12,6,11,12,387
25235,2024-07-01,16,13,3,19,28,381
25256,2024-07-01,18,15,29,28,45,3332
25319,2024-07-01,50,20,2,9,12,77
25336,2024-07-01,9,11,3,2,12,864
25560,2024-07-01,5,8,1,18,28,91
25577,2024-07-01,19,15,46,48,60,3263
25666,2024-07-01,2,4,10,14,60,2146
25679,2024-07-01,18,12,45,24,45,8853
25687,2024-07-01,43,20,4,21,28,1809
25694,2024-07-01,20,17,18,25,28,3380
25919,2024-07-01,30,19,32,22,28,10397
25988,2024-07-01,35,20,4,10,12,849
26445,2024-07-01,36,19,8,17,28,1292
26507,2024-07-01,21,13,3,8,12,350
26568,2024-07-01,5,8,95,16,45,1426
26592,2024-07-01,3,4,1,8,28,156
26817,2024-07-01,33,20,55,15,28,14788
26911,2024-07-01,33,18,2,8,12,411
27133,2024-07-01,50,20,12,19,28,1034
27337,2024-07-01,68,21,26,54,60,3748
27387,2024-07-01,27,18,31,45,60,2907
27489,2024-07-01,4,7,6,30,45,427
27545,2024-07-01,45,19,4,11,12,519
27588,2024-07-01,17,12,2,8,45,40
27708,2024-07-01,63,21,101,57,60,8805
27791,2024-07-01,7,9,14,17,45,1265
28082,2024-07-01,32,17,6,12,28,959
28203,2024-07-01,27,18,10,18,28,2496
28239,2024-07-01,24,15,5,12,28,2207
28276,2024-07-01,38,20,6,25,28,794
28397,2024-07-01,54,20,62,17,45,24830
28412,2024-07-01,17,16,7,5,12,1145
28826,2024-07-01,9,10,13,8,28,1484
28909,2024-07-01,8,10,2,4,12,180
28987,2024-07-01,16,15,42,11,28,4751
29124,2024-07-01,24,16,131,43,60,15540
29155,2024-07-01,11,11,15,24,28,3417
29218,2024-07-01,50,21,6,27,28,608
29302,2024-07-01,8,10,50,12,45,730
29303,2024-07-01,27,18,65,8,28,16625
29327,2024-07-01,25,14,2,6,12,244
29331,2024-07-01,11,12,2,6,12,391
29367,2024-07-01,48,18,17,22,28,1505
29499,2024-07-01,24,16,28,24,45,3688
29667,2024-07-01,22,15,46,30,45,3154
29679,2024-07-01,20,15,6,16,28,1765
29721,2024-07-01,21,15,6,7,12,405
29769,2024-07-01,18,14,2,2,28,183
29805,2024-07-01,33,17,3,16,28,1017
29897,2024-07-01,25,18,1,14,28,142
29918,2024-07-01,11,12,5,6,12,548
29922,2024-07-01,20,15,26,38,60,2460
29926,2024-07-01,13,14,6,17,45,628
29939,2024-07-01,8,11,4,5,12,772
30229,2024-07-01,9,12,80,11,60,17386
30372,2024-07-01,5,7,39,36,60,2825
30382,2024-07-01,22,16,4,18,45,217
30593,2024-07-01,14,13,5,3,12,737
30905,2024-07-01,51,21,20,27,28,5205
31005,2024-07-01,9,11,1,5,28,63
31113,2024-07-01,25,18,8,6,28,1023
31125,2024-07-01,18,17,1,25,45,96
31179,2024-07-01,27,19,6,7,28,211
31286,2024-07-01,14,13,89,30,60,23101
31324,2024-07-01,28,15,6,16,28,1057
31331,2024-07-01,28,18,7,10,12,1302
31348,2024-07-01,31,16,2,4,12,214
31392,2024-07-01,21,16,8,4,12,1027
31468,2024-07-01,46,18,6,25,28,248
31563,2024-07-01,36,20,2,11,28,160
31595,2024-07-01,32,18,2,10,12,38
31691,2024-07-01,32,16,4,3,12,739
31726,2024-07-01,22,16,3,10,28,145
31786,2024-07-01,4,5,11,15,60,1607
31811,2024-07-01,38,21,8,11,12,221
31852,2024-07-01,41,21,41,17,28,1386
32211,2024-07-01,20,12,8,18,28,1349
32302,2024-07-01,26,18,39,14,60,2396
32521,2024-07-01,35,17,2,6,12,485
32531,2024-07-01,24,15,76,28,45,10557
32601,2024-07-01,16,11,7,18,28,912
32628,2024-07-01,34,18,1,25,28,113
32670,2024-07-01,10,10,8,19,28,916
32673,2024-07-01,9,13,3,7,12,322
32811,2024-07-01,10,11,15,18,45,194
32896,2024-07-01,43,19,124,27,60,32969
32920,2024-07-01,4,6,2,4,12,366
32935,2024-07-01,42,21,61,16,28,13388
33018,2024-07-01,37,17,1,9,12,107
33021,2024-07-01,21,14,4,19,28,320
33350,2024-07-01,35,18,3,15,28,446
33372,2024-07-01,8,11,13,9,45,1364
33383,2024-07-01,21,15,32,18,28,3361
33472,2024-07-01,26,18,48,21,45,3596
33774,2024-07-01,3,6,2,4,12,68
33778,2024-07-01,47,21,6,11,12,325
33796,2024-07-01,35,18,12,32,45,3846
33856,2024-07-01,5,8,1,15,28,71
33871,2024-07-01,0,0,27,13,60,3163
33925,2024-07-01,5,8,1,1,12,53
33931,2024-07-01,5,9,1,5,45,79
33971,2024-07-01,32,21,12,39,45,891
33975,2024-07-01,53,21,6,24,28,709
33986,2024-07-01,17,14,98,24,60,8064
34048,2024-07-01,36,19,8,7,12,1402
34261,2024-07-01,29,17,4,18,28,70
34268,2024-07-01,26,16,1,19,28,77
34482,2024-07-01,5,8,4,25,45,855
34721,2024-07-01,43,21,38,22,28,7805
34735,2024-07-01,45,19,36,34,45,4860
34795,2024-07-01,23,17,13,7,12,1566
34863,2024-07-01,11,11,4,31,45,460
34879,2024-07-01,34,20,1,25,45,80
34988,2024-07-01,5,6,5,4,12,684
35046,2024-07-01,28,17,5,8,12,691
35118,2024-07-01,5,9,3,5,12,312
35136,2024-07-01,15,15,1,8,12,32
35343,2024-07-01,7,11,4,6,28,718
35528,2024-07-01,51,21,2,9,12,130
35710,2024-07-01,31,19,3,23,28,753
35860,2024-07-01,54,21,2,25,28,338
36021,2024-07-01,40,20,2,8,12,73
36196,2024-07-01,33,19,52,36,60,2845
36197,2024-07-01,14,14,9,12,28,311
36413,2024-07-01,8,10,49,18,60,7192
36791,2024-07-01,23,16,3,18,28,836
36980,2024-07-01,6,8,25,3,28,7412
37109,2024-07-01,24,16,55,39,45,7756
37134,2024-07-01,39,19,10,10,12,4636
37179,2024-07-01,34,17,8,7,12,1233
37398,2024-07-01,10,10,8,23,28,2357
37460,2024-07-01,10,11,90,40,60,5599
37476,2024-07-01,34,20,4,24,28,1004
37500,2024-07-01,13,12,4,16,28,517
37563,2024-07-01,25,17,57,37,45,6562
37605,2024-07-01,20,14,51,17,28,6391
37672,2024-07-01,21,13,58,23,28,5365
37940,2024-07-01,54,20,9,25,28,1606
37982,2024-07-01,22,14,9,29,60,2097
38198,2024-07-01,27,19,2,5,12,191
38227,2024-07-01,25,15,3,22,28,748
38252,2024-07-01,12,12,10,20,45,80
38270,2024-07-01,21,15,12,30,45,3304
38664,2024-07-01,32,18,10,21,28,1221
38728,2024-07-01,7,11,2,4,12,180
38766,2024-07-01,35,18,77,36,45,2747
38770,2024-07-01,45,20,180,52,60,7045
38812,2024-07-01,13,12,4,2,12,311
38848,2024-07-01,15,11,70,5,60,4830
38906,2024-07-01,25,18,41,41,60,3646
39037,2024-07-01,18,12,2,6,28,106
39062,2024-07-01,16,13,6,13,28,491
39196,2024-07-01,13,14,3,10,12,305
39248,2024-07-01,13,11,57,24,28,2602
39416,2024-07-01,24,15,49,46,60,4678
39666,2024-07-01,5,6,1,10,28,125
39869,2024-07-01,24,14,6,3,12,626
40017,2024-07-01,4,5,12,9,45,189
40166,2024-07-01,16,16,1,32,45,71
40485,2024-07-01,45,20,9,10,12,2146
40757,2024-07-01,30,18,9,42,45,2783
40892,2024-07-01,10,12,19,24,45,1251
40936,2024-07-01,26,17,3,21,28,291
41180,2024-07-01,48,21,8,8,12,1533
41324,2024-07-01,10,12,4,11,28,522
41404,2024-07-01,41,20,1,8,12,145
41475,2024-07-01,26,16,37,17,28,18104
41531,2024-07-01,19,14,43,46,60,8908
41542,2024-07-01,15,13,20,11,45,2234
41554,2024-07-01,51,18,9,24,28,657
41601,2024-07-01,28,17,2,3,12,181
41660,2024-07-01,25,14,5,21,28,528
41704,2024-07-01,16,15,1,19,28,22
41709,2024-07-01,12,13,40,12,45,2629
41717,2024-07-01,38,20,3,9,12,429
41740,2024-07-01,13,13,6,11,12,131
41776,2024-07-01,38,18,3,21,28,220
41888,2024-07-01,33,21,59,21,28,6362
41956,2024-07-01,50,20,11,10,12,1718
41970,2024-07-01,36,18,12,23,45,2379
42058,2024-07-01,32,19,8,13,28,2281
42105,2024-07-01,29,17,10,10,12,340
42170,2024-07-01,41,20,9,11,12,511
42264,2024-07-01,7,11,5,20,45,364
42398,2024-07-01,13,14,88,8,60,18235
42428,2024-07-01,10,10,3,7,28,478
42446,2024-07-01,12,14,1,6,12,73
42536,2024-07-01,19,14,5,7,12,74
42620,2024-07-01,22,15,8,7,12,2265
42704,2024-07-01,29,15,16,19,28,2297
42868,2024-07-01,37,18,1,8,28,74
43041,2024-07-01,28,18,117,40,60,22865
43165,2024-07-01,15,12,32,12,28,1938
43194,2024-07-01,21,14,2,14,28,174
43202,2024-07-01,47,20,15,34,45,4081
43280,2024-07-01,41,19,39,16,28,7623
43444,2024-07-01,46,20,8,21,28,1743
43540,2024-07-01,40,20,3,8,12,187
43665,2024-07-01,13,13,2,14,28,536
43777,2024-07-01,12,12,29,9,45,3670
43882,2024-07-01,58,22,4,5,12,439
44058,2024-07-01,10,12,6,3,12,948
44458,2024-07-01,14,13,19,33,60,1457
44476,2024-07-01,30,19,8,16,28,2036
44484,2024-07-01,24,15,1,13,28,187
44577,2024-07-01,21,14,1,11,12,101
44722,2024-07-01,52,20,11,36,45,917
44851,2024-07-01,46,20,1,11,12,194
44979,2024-07-01,33,20,6,10,12,418
45231,2024-07-01,24,17,30,13,45,5340
45236,2024-07-01,38,21,5,11,12,305
45344,2024-07-01,9,11,35,20,28,4324
45395,2024-07-01,25,17,12,8,12,2262
45507,2024-07-01,14,10,3,11,28,462
45541,2024-07-01,21,15,33,11,45,1434
45556,2024-07-01,26,18,5,28,45,482
45606,2024-07-01,31,18,21,23,45,4031
45608,2024-07-01,14,15,1,4,12,88
45702,2024-07-01,11,13,2,3,12,21
45909,2024-07-01,27,18,23,11,28,5406
45983,2024-07-01,15,12,42,43,60,3047
46074,2024-07-01,18,16,32,50,60,3561
46114,2024-07-01,10,12,3,9,28,398
46227,2024-07-01,14,14,5,6,12,445
46302,2024-07-01,55,21,29,42,45,957
46452,2024-07-01,6,9,9,6,28,819
46487,2024-07-01,3,4,3,6,12,328
46503,2024-07-01,32,17,79,54,60,17286
46659,2024-07-01,7,11,2,5,12,207
46708,2024-07-01,21,12,5,10,28,1484
46731,2024-07-01,7,8,4,10,28,413
46829,2024-07-01,15,15,125,26,45,7292
46887,2024-07-01,19,13,2,20,28,260
46903,2024-07-01,21,13,9,16,45,505
46968,2024-07-01,32,17,5,25,28,602
47036,2024-07-01,15,13,7,2,12,483
47046,2024-07-01,25,18,52,16,28,3372
47280,2024-07-01,34,16,3,9,28,678
47527,2024-07-01,55,20,7,13,28,846
47666,2024-07-01,35,16,5,9,12,1359
47832,2024-07-01,10,11,44,6,28,5916
47858,2024-07-01,29,18,134,28,60,8624
47874,2024-07-01,23,16,99,33,45,24962
47889,2024-07-01,34,20,95,47,60,46107
47913,2024-07-01,12,13,6,2,12,3145
47989,2024-07-01,12,12,4,13,28,1053
48299,2024-07-01,15,12,6,4,12,1152
48337,2024-07-01,20,15,5,5,12,664
48428,2024-07-01,17,12,2,24,28,426
48538,2024-07-01,14,12,1,9,12,53
48567,2024-07-01,42,20,4,10,12,1821
48639,2024-07-01,38,21,6,17,28,692
49130,2024-07-01,39,22,5,22,28,91
49214,2024-07-01,28,15,6,10,12,508
49249,2024-07-01,39,19,67,20,45,10041
49323,2024-07-01,15,11,52,20,28,4104
49606,2024-07-01,18,16,2,3,12,123
49617,2024-07-01,11,12,10,14,28,1373
49791,2024-07-01,42,20,85,28,60,15483
49872,2024-07-01,13,12,5,17,28,624
49884,2024-07-01,35,18,60,31,45,14765
49913,2024-07-01,24,18,4,10,28,277
49980,2024-07-01,11,11,17,32,60,780
19,2024-08-01,27,18,7,16,28,1776
23,2024-08-01,40,19,8,25,28,930
48,2024-08-01,30,16,4,9,12,1849
119,2024-08-01,6,10,31,18,45,2514
222,2024-08-01,42,19,2,10,12,817
334,2024-08-01,43,22,52,26,28,1917
341,2024-08-01,19,17,27,31,45,5912
356,2024-08-01,33,17,7,5,12,398
379,2024-08-01,23,15,12,26,45,3989
508,2024-08-01,3,4,35,6,60,1351
685,2024-08-01,4,6,1,1,12,76
689,2024-08-01,21,17,2,24,28,294
738,2024-08-01,37,21,94,15,45,25015
855,2024-08-01,60,22,5,23,28,921
1001,2024-08-01,29,15,6,30,45,1036
1048,2024-08-01,58,22,34,27,28,3887
1054,2024-08-01,22,16,5,4,12,991
1061,2024-08-01,43,21,5,11,12,1286
1074,2024-08-01,10,12,7,6,12,3963
1092,2024-08-01,29,14,3,5,12,669
1240,2024-08-01,25,20,7,21,45,221
1314,2024-08-01,8,11,3,9,28,136
1362,2024-08-01,25,19,2,15,45,281
1385,2024-08-01,68,21,2,25,28,490
1387,2024-08-01,7,8,3,10,28,561
1974,2024-08-01,33,18,5,20,28,412
2082,2024-08-01,27,17,34,34,45,2511
2244,2024-08-01,7,9,2,5,12,216
2383,2024-08-01,15,11,6,5,12,593
2529,2024-08-01,4,6,2,5,12,161
2554,2024-08-01,32,17,63,40,60,2235
2575,2024-08-01,53,19,2,10,12,372
2608,2024-08-01,19,15,9,31,45,1127
2620,2024-08-01,21,13,5,28,60,901
2705,2024-08-01,21,15,15,42,60,1819
2761,2024-08-01,28,15,6,6,12,159
2768,2024-08-01,15,15,2,33,45,168
3054,2024-08-01,26,18,3,8,12,360
3171,2024-08-01,34,17,59,51,60,4841
3262,2024-08-01,31,19,37,18,28,4223
3285,2024-08-01,51,21,52,52,60,7315
3295,2024-08-01,61,21,55,22,28,8645
3421,2024-08-01,81,22,17,56,60,4738
3422,2024-08-01,38,19,14,23,28,2977
3583,2024-08-01,59,22,2,8,12,409
3669,2024-08-01,18,13,6,15,28,826
4281,2024-08-01,36,17,13,14,28,3545
4613,2024-08-01,3,5,4,7,28,102
4626,2024-08-01,4,5,20,13,45,1755
4788,2024-08-01,38,19,17,22,45,1252
4810,2024-08-01,26,15,23,28,45,4514
4819,2024-08-01,5,7,112,14,60,13401
4922,2024-08-01,6,7,4,11,28,314
4988,2024-08-01,29,16,32,23,45,9493
5023,2024-08-01,50,20,10,10,12,109
5046,2024-08-01,14,14,27,34,45,7591
5217,2024-08-01,29,16,10,6,12,224
5370,2024-08-01,6,8,33,16,60,1429
5535,2024-08-01,9,10,32,17,60,2112
5566,2024-08-01,3,4,2,5,28,100
5657,2024-08-01,29,18,1,11,12,78
5717,2024-08-01,17,16,16,32,45,2617
5749,2024-08-01,35,18,3,16,28,87
5754,2024-08-01,14,13,2,10,12,91
5786,2024-08-01,43,21,3,17,28,405
5985,2024-08-01,39,19,4,8,12,181
6051,2024-08-01,8,10,7,6,12,740
6092,2024-08-01,32,22,62,35,45,25110
6096,2024-08-01,17,13,8,12,45,1469
6100,2024-08-01,29,13,21,38,45,9548
6117,2024-08-01,21,14,84,26,45,2478
6134,2024-08-01,18,15,2,6,12,360
6149,2024-08-01,33,19,60,18,45,24416
6250,2024-08-01,22,12,5,6,12,153
6293,2024-08-01,20,17,57,26,45,5947
6298,2024-08-01,18,14,8,3,28,1280
